"LOR002C" "LOR003C" "LOR005C" "LOR006C" "LOR007C" "LOR008C" "LOR009C" "LOR011C" "LOR012C" "LOR013C" "LOR014C" "LOR015C" "LOR016C" "LOR017C" "LOR018C" "LOR019C" "LOR020C" "LOR021C" "LOR022C" "LOR023C" "LOR024C" "LOR025C" "LOR026C" "LOR027C" "LOR028C" "LOR029C" "LOR030C" "LOR033C" "LOR034C" "LOR036C" "LOR037C" "LOR042C" "LOR046C" "LOR051C" "LOR054C" "LOR055C" "LOR058C" "LOR060C" "LOR061C" "LOR062C" "LOR063C" "LOR065C" "LOR070C" "LOR072C" "LOR074C" "LOR076C" "LOR078C" "LOR081C" "LOR082C" "LOR083C" "LOR084C" "LOR085C" "LOR086C" "LOR090C" "LOR091C" "LOR098C" "LOR099C" "LOR101C" "LOR102C" "LOR103C" "LOR202C" "LOR203C" "LOR204C" "LOR206C" "LOR207C" "LOR208C" "LOR210C" "LOR211C" "LOR212C" "LOR214C" "LOR215C" "LOR216C" "LOR217C" "LOR218C" "LOR219C" "LOR220C" "LOR221C" "LOR222C" "LOR223C" "LOR224C" "LOR225C" "LOR226C" "LOR227C" "LOR228C" "LOR229C" "LOR230C" "LOR231C" "LOR233C" "LOR234C" "LOR235C" "LOR237C" "LOR238C" "LOR239C" "LOR240C" "LOR241C" "LOR242C" "LOR243C" "LOR246C" "LOR248C" "LOR249C" "LOR254C" "LOR258C" "LOR259C" "LOR260C" "LOR262C" "LOR264C" "LOR269C" "LOR270C" "LOR272C" "LOR274C" "LOR275C" "LOR279C" "LOR281C" "LOR282C" "LOR283C" "LOR284C" "LOR287C" "LOR288C" "LOR289C" "LOR294C" "LOR295C" "LOR300C" "LOR301C" "LOR303C"
"LOR002C" 0 0.66273121406059 0.87461123352027 0.971810081227486 0.865183550077599 0.876040719083568 0.821026139370127 0.82127762421555 0.951977969152085 1 0.984211843405841 0.816785163791687 0.875015192938743 0.790213013753366 0.919522870915919 0.937893884435526 0.841742797864066 0.807026039556371 0.877200874878395 0.865646239525457 0.740689889426885 0.933152243635443 0.983190928131564 0.856626306366129 0.89589056178075 0.940345100000496 0.758180239923637 0.899857179762266 0.846949459682484 0.900563183134307 0.770534119223915 0.890157489113341 0.808692049743811 0.911688638714322 0.848765430679073 0.819628319874786 0.896610357078139 0.945569332826447 0.93577182725092 0.835353335354679 0.877454446039288 0.910705607320177 0.825866477590903 0.795007228276425 0.78637841749444 0.850075332792729 0.956817542772621 0.897365925172851 0.856546794809356 0.98101005935704 0.846523837055476 0.966251530662296 0.939617091217763 0.866486331726721 0.787010048962568 0.954524070849236 0.896759705430946 0.761714877264826 0.785500643007617 0.856988958199132 0.801377994719793 0.831139525016783 0.789313441308449 0.925285719334946 0.870409902697775 0.989665653738093 0.840569912482453 0.994397344432167 0.861560577198289 0.807760863387643 0.932798518721398 0.829549335157459 0.77391725107582 0.741128786220196 0.778325052973091 0.900387287369179 0.94304571405802 0.888767481980493 0.832382654357759 0.541970159600745 0.8597522006658 0.791482932025704 0.786105408051222 0.878772083864018 0.818575151451372 0.837333320516216 0.940857838666121 0.79202511052685 0.828784845082223 0.812010113292735 0.900253595887727 0.855010071054875 0.849697628443326 0.773246569030091 0.975022671399052 0.863654248033087 0.890554691713018 0.768260420765738 0.941589118208176 0.827268491019356 0.799946965701725 0.746782820696682 0.805463200563826 0.82431473082932 0.800695010717163 0.8051076009833 0.787916165115838 0.803137182346587 0.889906878173312 0.924962530171996 0.851134603755562 0.712416634086299 0.744945887806648 0.843115018407145 0.812207987319678 0.862508868964851 0.829073855658816 0.65090294002265 0.931749539189946 0.843268474929761 0.848806768993962 0.776646896083865 0.737140197602047 0.764765918324406
"LOR003C" 0.66273121406059 0 0.810629035873882 0.941461093979571 0.740343248200589 0.713474553639238 0.687365928488594 0.643880160217659 0.844552085857441 1 0.877683305003372 0.738763029626817 0.684127563848563 0.652445233861524 0.878681066320995 0.765016774525833 0.557102853867742 0.577413102339744 0.682495786512557 0.637282766819468 0.749809624420013 0.756003114263363 0.967581446542012 0.692653204192432 0.799069083706352 0.840434217631144 0.658667204187605 0.717686002269362 0.639602111035021 0.72418760046814 0.510773286063039 0.706713766770028 0.613167719243072 0.746534923706985 0.631692938184721 0.651277198983394 0.876298464176119 0.887636160084101 0.774402038892914 0.697778677651048 0.730922784178775 0.794471202214397 0.6405224595309 0.646310571354511 0.580414551699369 0.706294680123436 0.898838342902226 0.830051280313717 0.682899515652618 0.95778400273919 0.751176108941351 0.942520741322939 0.783739440603122 0.654486116309916 0.722135239937121 0.922443578620368 0.759310773890717 0.718959982334554 0.657338026159767 0.675875002686948 0.685753378712683 0.773133733253376 0.709158340405987 0.906814677673492 0.701516387278873 0.950032232319438 0.702968741685261 0.982176646295664 0.706683233503616 0.629017067105813 0.777919681430151 0.643390320739855 0.719307951620392 0.652502875502099 0.658855803326888 0.790299670561104 0.877158680910716 0.837725558979308 0.59298636200812 0.686394014372162 0.6794007447659 0.603988640789044 0.707023358791089 0.772571505834405 0.603031273942573 0.723344158534838 0.839848020916199 0.541863899596066 0.617757899384166 0.687611988401813 0.829071815826664 0.678759742572733 0.650363311197532 0.620332894866571 0.938722875032297 0.700387371632139 0.665921330572364 0.584288720598758 0.778630542450435 0.773613206942894 0.736066706331823 0.654910469427218 0.697776620694222 0.582438164062403 0.612876877494461 0.721146191097198 0.713203977953942 0.635559151517589 0.701151677402489 0.720276536960227 0.633124528011309 0.605178092467236 0.684613553052007 0.672231516009147 0.600026226336406 0.79386443941693 0.58252444902508 0.566304715462899 0.792591599614566 0.671100731460051 0.634925405648487 0.606153198841257 0.581931985389182 0.682731234514809
"LOR005C" 0.87461123352027 0.810629035873882 0 0.618975489997495 0.891140813130735 0.845559936386534 0.623255237766576 0.810529672093518 0.421418425855609 1 0.809935183351414 0.892374920019254 0.757016793811312 0.57962991460285 0.961958071954378 0.8970212193546 0.865024969983714 0.806662825968365 0.865975998970185 0.795219577948125 0.936755683288731 0.911000828706605 0.988635724715123 0.761376133208818 0.930331955785736 0.947041052196408 0.493902628187488 0.819617286237855 0.824804951674825 0.865378165644823 0.887733314020647 0.853035132124956 0.895173367447486 0.848900341495944 0.86042728559384 0.734367192205603 0.944421297524478 0.964956315363359 0.889753894553367 0.797409982298765 0.831452884432008 0.697434195546501 0.763102898232367 0.703793810529105 0.858844953831629 0.764157892413039 0.964112630959323 0.936984575200291 0.785402056541282 0.990500388327786 0.882242856473009 0.9536328281587 0.890524389632999 0.878376554255246 0.570788487917353 0.975272105300733 0.624788481089867 0.410468027902762 0.57552538452449 0.888271762290445 0.546595460745082 0.538734038629631 0.344275239454848 0.963467420074428 0.584162037236568 0.983610234394578 0.856921708986531 0.992857663257865 0.844339589823804 0.698360564961975 0.881208484312879 0.711747104097327 0.412712783458341 0.60599827667385 0.647484987076316 0.67208787112342 0.960666434429531 0.947921427878628 0.775150453632875 0.646939719408539 0.881184562217738 0.669428870530355 0.449406625530828 0.795702967657331 0.864754390428232 0.698131248896682 0.236463138768244 0.79710252803425 0.799442472917225 0.607957255452603 0.942942914943994 0.821272534890429 0.8576501408679 0.727362772898004 0.979860715809729 0.905037265793847 0.845164530307724 0.654720080155164 0.906230442775906 0.319369735009008 0.529234835935584 0.549231474506397 0.427062481324093 0.824045884806729 0.744089370435592 0.342481118237375 0.56636603106286 0.770280576220348 0.864537096744872 0.856485801544274 0.857738596774602 0.649249141348542 0.893359202495123 0.787880012209758 0.88665107990186 0.934968624462326 0.830346683517465 0.606413322444466 0.926268286211105 0.845686929325712 0.874856635656921 0.688046285490263 0.684199555903217 0.671290268691765
"LOR006C" 0.971810081227486 0.941461093979571 0.618975489997495 0 0.987360794371193 0.969641950097325 0.826161446799091 0.91244898429486 0.672874748222291 1 0.871697170875825 0.953260689806894 0.878879166564142 0.844886718712669 0.976582494540281 0.935295800769507 0.93988891718596 0.918744847145385 0.926845007751442 0.917594455699348 1 0.940132040728681 0.993314955140277 0.891148461477796 0.962174255964072 0.967980844159409 0.78625568867307 0.905526100195872 0.925422508692768 0.934820593237324 0.950402041321734 0.923429041561134 0.955790711431047 0.917197033146539 0.931970362727378 0.87400458967265 0.968997993060673 0.978292360753151 0.937352574006662 0.941961655699598 0.917124301717274 0.831933817137989 0.90472121358906 0.874044443888937 0.94438903464388 0.879931675513811 0.983815162835524 0.971441215539927 0.908797496291239 0.993398632415837 0.955263762278407 0.982449338565953 0.945614380325088 0.932552996236009 0.807925765163932 0.98322356830339 0.810778779128125 0.716831935430351 0.79589543719344 0.946539044440774 0.79956381785607 0.77144570172242 0.678059629018467 0.988987006047787 0.782064715629474 0.989481552750274 0.935734510301118 0.996771506358665 0.926706458074435 0.85790892437182 0.937458673393391 0.87252287173308 0.727009831413204 0.823089703232823 0.83806581142272 0.82568422803481 0.977056294032485 0.966326437181885 0.928718938613284 0.830717936590719 0.946152389541289 0.863063318203018 0.738827621767077 0.912422875721985 0.958919930626027 0.850409706958144 0.601730708699879 0.94335388710467 0.922570855130756 0.815038863281831 0.992468512331135 0.918053227667191 0.938926835421229 0.856916403996777 0.988779115125731 0.946054795932655 0.941102147065987 0.86153045711819 0.949236701490788 0.593678921171035 0.762990046080694 0.79834523581466 0.738424346952475 0.914362940515412 0.881297607926872 0.674259469625259 0.768561724008138 0.898991093356042 0.918176394492989 0.956276761184939 0.922372166291351 0.85225920516937 0.967245525658573 0.901646386341149 0.964502811611919 0.965167817327154 0.920221605068428 0.83178563058888 0.96657182434822 0.947026379450787 0.938243342159042 0.866411760965749 0.858293712656971 0.82365926907632
"LOR007C" 0.865183550077599 0.740343248200589 0.891140813130735 0.987360794371193 0 0.743467206010608 0.781598733632071 0.829276897553089 0.899839714616332 1 0.962525402219293 0.813845271111022 0.759894871694788 0.846074372670544 0.863433945130489 0.883855882864367 0.703274967400484 0.674991782445649 0.834323052554125 0.752595224418561 0.818329714499642 0.900535449194262 0.955827705675003 0.724173878099871 0.824007224734785 0.860349689993784 0.826624567111823 0.803968445367064 0.754637598657735 0.75715372740275 0.832518268956042 0.859271531731559 0.867425538724698 0.827045385811949 0.804559980927139 0.774123099432479 0.893770654206263 0.871852899681829 0.848600814546024 0.715441621687349 0.822821080587959 0.831240398543364 0.710031827670253 0.765372769073438 0.840529966978818 0.787726039506717 0.880344034849786 0.844347459466242 0.691705440070608 0.923018421204753 0.81742072971938 0.965824751323692 0.847666463311911 0.821496617902063 0.816769863664904 0.875547008951062 0.806303411818615 0.869919492709052 0.816671205094138 0.795270638032893 0.826730545748767 0.856486680834861 0.874354604223393 0.790019341339739 0.85063631665447 0.969601158148535 0.844085441026602 0.977955700342757 0.778422159915305 0.803850508270082 0.826763767108032 0.779855140561343 0.858373632483581 0.806241299587999 0.866803544902711 0.848024973823456 0.847726761333216 0.880186511093377 0.653091022414264 0.875972681066915 0.778729291506835 0.766153548409862 0.851321162451024 0.804943330090001 0.679616060043627 0.814099337596305 0.900939733359853 0.65973553573842 0.670153369218386 0.809506360389468 0.742014842255765 0.778320325136668 0.800008824144862 0.810375975851971 0.918341122898797 0.897023221313253 0.687329896256796 0.759694288639156 0.774907857762913 0.894835499316716 0.834490339897819 0.815741442297225 0.834971362820833 0.833138285055629 0.773702481931058 0.878303414752274 0.86929282442143 0.78446127931282 0.86267237548156 0.666991977762774 0.840434744737648 0.797181319140197 0.84150385956722 0.77845172725976 0.777010471378519 0.822524327527509 0.803930933100298 0.825014471483257 0.805224932908079 0.705919043372626 0.883310518534406 0.750380829477235 0.775213569983127 0.852905059258205
"LOR008C" 0.876040719083568 0.713474553639238 0.845559936386534 0.969641950097325 0.743467206010608 0 0.850453748598934 0.915605556034183 0.846223435515996 1 0.978743857994918 0.830103060115386 0.841972164791219 0.776746177607276 0.881292239702917 0.913133757751519 0.745619326026207 0.780989052524993 0.851541299251368 0.870530568000309 0.892649977291887 0.909742989124647 0.975870572062432 0.801246036590314 0.869270858124053 0.918520377440831 0.787266290691723 0.881545341819272 0.872642641144679 0.891761193987528 0.880221303975062 0.935547175758247 0.947645392776748 0.912515113995448 0.821585712388882 0.848615077297504 0.878118772533298 0.924611357814058 0.906354371856787 0.840008977762847 0.923209701083373 0.894239671048964 0.832812995254499 0.862251429699881 0.843657120171001 0.834945535633478 0.947746482631392 0.886643506325225 0.843041911534634 0.974664376487814 0.850591894576816 0.979533413318684 0.921872052171485 0.837751871858735 0.860559176625139 0.935042204291701 0.814469691843836 0.850416422030916 0.842526653751108 0.831957010562793 0.818724650775126 0.854128707084085 0.856840811733441 0.939540723839593 0.806876756932458 0.988533469579313 0.866867662216895 0.993487564665807 0.866278872909449 0.840317676509791 0.933932619857524 0.818928129583219 0.822802641811291 0.83115805612041 0.87538727938093 0.908947798028729 0.921733033532512 0.840889503613722 0.770477116367204 0.865113657886939 0.822852730813182 0.787924124365867 0.834963780643132 0.896358429326902 0.852055651809285 0.904491809671087 0.801083672919809 0.778052809450837 0.758639394146957 0.859172936901574 0.916040903916273 0.875911994485008 0.901992397085612 0.863026582826023 0.958300593716486 0.848168058308043 0.780400825082271 0.808396446532927 0.917328720262162 0.848430833599218 0.846629236992424 0.81361627382251 0.822037134855233 0.84499918627898 0.831049519954074 0.853620022901368 0.883607297660684 0.876587356264687 0.850736794968776 0.815290543792734 0.829184546919966 0.825615997261239 0.834197414161842 0.870299934300554 0.927701776995772 0.809877424298904 0.858272238511919 0.812090079782331 0.926318395673724 0.888981725201498 0.847262739281027 0.848268819598631 0.819667210510902 0.887447466694689
"LOR009C" 0.821026139370127 0.687365928488594 0.623255237766576 0.826161446799091 0.781598733632071 0.850453748598934 0 0.5389397069007 0.638115315914374 1 0.551484412981904 0.819232429693509 0.452838445301902 0.402487290864645 0.910604751762096 0.76215808225819 0.744418406192086 0.578981403485208 0.708497395226292 0.558718846834659 0.847773922079385 0.787672483186726 0.975352542671267 0.471223677434861 0.837157806240394 0.883695121301468 0.368969432182026 0.583445359791472 0.577078634602359 0.668707392946372 0.708617590614904 0.633321862680231 0.735982490461716 0.646662277539247 0.719784222866834 0.404910850896584 0.915343102760835 0.921765014879409 0.756164172143558 0.594479089720061 0.602255601686147 0.35413352811989 0.434471104121726 0.285282047959533 0.782375254561625 0.515810542223756 0.919491391325315 0.850539002473129 0.511498580848446 0.97970760096466 0.799030788677703 0.937743228936866 0.744674092011311 0.770599313691908 0.372157927049977 0.942531961050619 0.277334137091802 0.48350277236858 0.215519355656529 0.777546899799025 0.3315167769656 0.567670089159244 0.552634367190013 0.915400278928492 0.409157357509063 0.960662160324571 0.77569549881035 0.983246504649296 0.663471540683856 0.375485158646838 0.714553497283046 0.412699648241923 0.484698080827625 0.296827597271117 0.400381635194123 0.361937837762351 0.90944581755019 0.913873797890486 0.536283991328365 0.52063574470048 0.751129076226718 0.307829039737051 0.426271326437443 0.623382087593992 0.662824087476501 0.287046213776405 0.660957005989908 0.556465055701032 0.602400317761737 0.23651283996779 0.864853643446643 0.582022238116323 0.63978155480724 0.43139142754855 0.953805891899248 0.850360781395016 0.679547004652185 0.357312544146389 0.797857195297777 0.64655137619349 0.500199681153993 0.329085148378019 0.379970972899608 0.647048011536414 0.421185593740107 0.476217499562548 0.510846531329222 0.422244471658612 0.711271528145525 0.690879147794704 0.733503082278068 0.402049905967919 0.882884098941811 0.520681005159484 0.719676690188429 0.89675838051604 0.580440030775741 0.325779955772034 0.830049756962676 0.630449597172837 0.801767081358591 0.273600270352048 0.295991271544819 0.288430197208846
"LOR011C" 0.82127762421555 0.643880160217659 0.810529672093518 0.91244898429486 0.829276897553089 0.915605556034183 0.5389397069007 0 0.818907689137792 1 0.62016997928195 0.861576177929194 0.497945087204831 0.581548369591081 0.937493407945125 0.70479024261079 0.761560390345423 0.5737220973443 0.705473614010554 0.518374147083856 0.753280472601842 0.771927777328365 0.954680946158185 0.448743934444985 0.84350161780455 0.873921568490704 0.627081428959962 0.466110161072794 0.531630846077008 0.573287893749211 0.56503988061228 0.508352479581162 0.513059826001691 0.54208885928528 0.708912140055531 0.450785597582962 0.933934178734807 0.914052626420941 0.737967664555975 0.603118832403119 0.508911169400585 0.627071796124516 0.448839140235278 0.445653384383114 0.769568650506711 0.514235343431669 0.862369257224095 0.880109003387608 0.517479210503592 0.968720567297907 0.837174883966847 0.940846423611492 0.609842552445496 0.744832946608459 0.610717031099584 0.944447586411345 0.64924891337129 0.697098759115828 0.551163657608466 0.770663032585624 0.61322524688992 0.744112417322577 0.735955178369848 0.870133941944653 0.714575925276659 0.937881468011427 0.782662653030895 0.976302916799687 0.634530941907021 0.524401130993224 0.58884148270003 0.493636014093652 0.695731202656213 0.582890688178966 0.643080829034247 0.642974215257656 0.895724214035848 0.949518540900834 0.575078132361353 0.707347691219554 0.755869767876569 0.484799926269239 0.665384762429652 0.661303730448296 0.614878689516274 0.520480225125122 0.827743342531451 0.628443441324882 0.650349927451771 0.555606069283297 0.811811084881814 0.553705196754621 0.503019196200145 0.492219335250056 0.913499625040068 0.860332947147156 0.685680653916534 0.558454479876367 0.733861781307191 0.790265369169359 0.702171332638393 0.610084239772735 0.669074132546846 0.606404583470253 0.430498865126876 0.687969833602571 0.693322506450261 0.377559208130007 0.694687687346917 0.682330107448287 0.710911915035158 0.598285441678111 0.915911037753229 0.454387737295652 0.607528782901279 0.9210148137022 0.50898711694944 0.596748917707196 0.757747659234494 0.539752613231959 0.803458958678085 0.42099652560476 0.431802567269214 0.513641676196727
"LOR012C" 0.951977969152085 0.844552085857441 0.421418425855609 0.672874748222291 0.899839714616332 0.846223435515996 0.638115315914374 0.818907689137792 0 0.97005160975877 0.770348081943573 0.929669908443727 0.75453717918267 0.676927999186416 0.958468278177525 0.877638444954515 0.871806887615639 0.831069512644673 0.874890471879111 0.81962915921707 0.955114542243281 0.894327686062568 0.987031937637663 0.754236074318578 0.93156410236588 0.940438302708758 0.544923881000715 0.803559202356312 0.841544114557421 0.856379070265367 0.899666907396464 0.863768200069498 0.916391857156147 0.840238787122284 0.884597152938504 0.761670445662265 0.963837391612675 0.961291831839686 0.878227986707874 0.838948599410887 0.848219602559204 0.667347263138015 0.780822604665594 0.730023808620937 0.915959728729569 0.774965082060498 0.966218763190253 0.945429252531571 0.790227710063037 0.989038530327373 0.928811380098201 0.967464805839858 0.877102266379794 0.892431482862669 0.581432219435777 0.970591543744954 0.584051647360531 0.465013447316492 0.608844724639465 0.909653182074979 0.585518525484263 0.56989471552087 0.395717921492127 0.97743512186001 0.580698374564194 0.981070247935103 0.900845067377357 0.99278090034433 0.861885044330682 0.744881968638158 0.87489992187432 0.709554342726468 0.45099581282113 0.637600052374148 0.720268209651725 0.66897854811683 0.954440914080766 0.959789513158744 0.791348291573038 0.692395988059533 0.886385724206843 0.70192162471104 0.492498581547182 0.812378986889621 0.887020598238628 0.7130748947668 0.367892214950303 0.833390804531662 0.820787794755375 0.610563474221683 0.967230772735844 0.84080691095255 0.873725128117947 0.746331901982184 0.977842583852776 0.928519682899489 0.827556650308075 0.72416028359812 0.888492655003603 0.468536469108274 0.550126927747859 0.594497443672 0.479031169468513 0.863300801781639 0.773196640084333 0.381667506297635 0.601046106521073 0.795397115248649 0.863789270873883 0.841634682729887 0.87826740492539 0.708042260386515 0.950578419053764 0.805747158689469 0.92217530713973 0.953545749628217 0.843145578853084 0.65980970960844 0.928617525895773 0.874609288351298 0.90970585838612 0.701963117276445 0.718938902923067 0.67444730914078
"LOR013C" 1 1 1 1 1 1 1 1 0.97005160975877 0 1 1 0.999573750881448 0.999824000185204 1 1 0.999294108183416 1 1 1 1 0.999894081501525 0.999991630413983 1 1 1 0.999981368973438 0.999913261730647 1 1 1 1 1 0.999912514070789 0.999988731099871 1 1 1 0.999261030501385 1 1 1 0.999984092030995 1 1 1 1 1 1 0.99919584573097 1 1 1 1 1 1 0.999259631477346 1 1 1 1 1 1 1 1 1 0.999989074659048 1 1 1 1 1 1 1 1 1 1 1 1 1 0.999810900714472 0.999566493309374 1 1 1 1 1 1 1 1 1 1 0.999912929570327 1 0.998516447098051 1 0.999921788547047 1 1 1 1 1 1 1 1 1 1 1 0.999926418588814 1 0.999989664823901 1 1 1 1 1 1 1 1 1 1 1 1 1
