Species	LOR002C	LOR003C	LOR005C	LOR006C	LOR007C	LOR008C	LOR009C	LOR011C	LOR012C	LOR013C	LOR014C	LOR015C	LOR016C	LOR017C	LOR018C	LOR019C	LOR020C	LOR021C	LOR022C	LOR023C	LOR024C	LOR025C	LOR026C	LOR027C	LOR028C	LOR029C	LOR030C	LOR033C	LOR034C	LOR036C	LOR037C	LOR042C	LOR046C	LOR051C	LOR054C	LOR055C	LOR058C	LOR060C	LOR061C	LOR062C	LOR063C	LOR065C	LOR070C	LOR072C	LOR074C	LOR076C	LOR078C	LOR081C	LOR082C	LOR083C	LOR084C	LOR085C	LOR086C	LOR090C	LOR091C	LOR098C	LOR099C	LOR101C	LOR102C	LOR103C	LOR202C	LOR203C	LOR204C	LOR206C	LOR207C	LOR208C	LOR210C	LOR211C	LOR212C	LOR214C	LOR215C	LOR216C	LOR217C	LOR218C	LOR219C	LOR220C	LOR221C	LOR222C	LOR223C	LOR224C	LOR225C	LOR226C	LOR227C	LOR228C	LOR229C	LOR230C	LOR231C	LOR233C	LOR234C	LOR235C	LOR237C	LOR238C	LOR239C	LOR240C	LOR241C	LOR242C	LOR243C	LOR246C	LOR248C	LOR249C	LOR254C	LOR258C	LOR259C	LOR260C	LOR262C	LOR264C	LOR269C	LOR270C	LOR272C	LOR274C	LOR275C	LOR279C	LOR281C	LOR282C	LOR283C	LOR284C	LOR287C	LOR288C	LOR289C	LOR294C	LOR295C	LOR300C	LOR301C	LOR303C
Cutibacterium acnes	46.895	38.961	72.567	64.89	69.267	58.204	75.391	55.431	75.08	4.501	21.901	35.351	25.699	54.757	5.34	8.857	21.605	29.229	17.584	52.472	10.568	3.908	1.153	20.788	12.884	3.945	78.715	25.908	45.813	18.517	15.051	12.915	17.583	19.716	27.946	44.737	3.286	0.8	10.535	38.728	33.611	49.64	62.745	53.252	16.762	33.916	6.316	9.833	37.252	8.77	18.402	21.532	14.107	13.895	58.891	5.454	59.178	86.698	57.938	21.249	61.629	83.555	81.397	6.467	37.898	2.296	23.412	5.674	28.002	44.698	11.793	51.855	87.715	65.126	39.054	57.445	8.429	3.41	54.153	77.159	20.613	54.335	84.586	41.535	25.374	39.232	38.919	46.731	31.216	64.694	45.499	32.737	29.721	50.136	4.845	4.9	32.586	56.842	22.357	95.59	80.318	75.008	72.503	29.617	47.372	75.575	80.851	32.761	15.99	25.233	17.778	63.948	4.098	26.505	31.157	5.234	20.794	65.888	12.631	20.145	16.771	85.724	38.391	66.294
Staphylococcus aureus	2.586	2.684	0.764	2.034	1.042	10.937	1.775	2.337	0.698	1.942	1.846	11.677	20.662	1.675	1.1	6.101	2.535	1.324	3.848	2.379	1.7	1.672	2.423	5.944	28.073	2.811	0.251	5.658	3.537	3.383	3.092	1.562	1.552	2.965	4.714	11.995	28.367	2.624	0.675	1.155	1.865	1.32	3.709	1.282	3.554	3.146	2.508	16.907	19.331	2.293	1.04	4.398	2.736	3.816	2.116	3.126	1.654	0.684	1.207	17.244	10.575	0.894	0.195	3.356	2.258	1.967	7.392	1.739	4.785	2.079	1.423	9.121	5.978	1.671	0.336	2.744	3.247	2.551	1.987	0.919	2.919	1.893	0.861	6.54	21.397	1.559	0.39	1.401	2.064	0.713	4.34	2.62	1.99	2.463	2.421	7.107	3.456	1.222	2.174	0.237	4.665	1.106	0.703	4.377	3.614	0.932	0.5	1.237	3.093	1.695	7.414	1.11	28.405	2.027	1.645	5.536	1.723	1.178	1.643	1.496	6.77	0.182	1.856	1.314
Micrococcus luteus	2.348	1.846	2.808	0.389	2.788	1.057	0.541	3.66	1.72	0.497	7.36	9.895	3.184	0.589	0.184	36.049	0.512	0.055	0.479	1.427	0.389	2.662	1.381	1.374	0.168	0.523	0.063	1.189	9.737	6.808	1.08	0.702	0.979	0.614	1.323	0.658	0.353	2.799	33.23	3.547	1.617	0.93	0.135	11.395	2.704	1.032	0.504	0.086	4.977	0.837	0.628	3.383	1.632	2.43	0.157	4.481	0.13	0.209	0.321	0.568	1.155	0.085	0.272	3.088	0.75	0.358	2.336	3.704	0.985	0.198	0.007	4.34	0.966	0.815	0.406	4.111	1.248	2.618	0.183	0.904	3.001	5.693	1.114	5.556	1.855	0.756	1.436	1.857	0.906	0.096	2.938	0.635	0.225	0.746	0.038	3.732	13.943	0.081	6.398	0.055	0.076	3.746	0.373	0.567	0.212	4.483	0.175	0.087	4.619	0.504	2.662	0.383	3.392	34.645	4.462	17.993	0.402	1.017	0.158	1.376	4.707	0.14	0.768	2.676
Aeromonas hydrophila	3.612	2.914	0.486	0.155	0.418	0.473	1.414	2.669	0.537	0.518	1.578	2.442	0.348	1.694	1.035	4.649	2.93	1.51	4.498	2.364	1.958	1.543	1.131	0.579	0.449	2.837	0.238	6.387	3.719	3.519	3.687	1.711	1.667	3.028	4.639	1.028	0.591	2.495	0.847	1.198	1.895	1.248	3.939	1.16	3.358	2.697	1.523	2.202	0.296	1.982	1.357	3.081	2.957	4.371	1.35	0.142	1.572	0.449	0.889	2.361	0.292	0.757	0.184	3.233	2.088	2.042	5.97	2.117	5.3	1.951	0.665	1.41	0.034	1.653	0.183	2.639	3.469	2.54	1.452	1.194	2.778	1.516	0.571	0.835	0.129	1.493	0.264	1.446	2.204	0.654	4.629	2.586	2.031	2.14	0.898	6.419	3.14	0.843	1.045	0.117	0.034	0.815	0.535	4.285	3.583	0.918	0.342	1.39	2.857	1.368	5.093	0.651	1.357	1.342	1.429	6.576	1.718	1.225	0.87	1.559	5.686	0.101	0.882	1.213
Moraxella osloensis	0.243	0.555	0.989	3.306	0.032	0.397	0.1	2.928	0.265	0.142	0.185	1.499	2.565	0.256	0.106	0.208	2.565	9.034	0.436	0.495	0.063	0.177	2.244	0.049	0.114	0.51	0.478	0.452	0.064	0.233	1.892	0.578	0.191	3.734	0.119	0.153	0.717	0.14	0.342	0.43	0.166	0.451	0.695	1.233	0.125	2.764	0.16	3.423	0.961	0.944	1.722	0.231	0.263	0.368	0.063	1.351	0.055	0.082	0.145	0.344	2.771	0.02	0.214	0.867	0.396	0.065	1.849	0.929	0.765	5.144	0.027	1.828	0.128	0.23	25.53	1.791	0.251	7.261	0.31	0.242	1.305	2.718	0.125	2.078	0.5	0.982	0.459	2.206	1.052	0.035	0.214	2.196	0.225	0.161	0.036	0.81	8.115	0.014	0.667	0.01	0.054	0.201	0.069	0.221	0.141	3.16	0.177	0.032	0.39	0.036	0.203	0.499	10.645	0.491	0.296	2.544	0.16	0.134	0.284	0.423	2.297	0.31	0.312	0.197
Burkholderia dolosa	0.673	0.447	0.149	1.046	0.178	0.108	0.073	0.746	0.264	0.08	0.235	0.677	0.133	0.378	0.912	2.013	0.326	0.107	0.527	0.343	0.246	0.112	18.096	0.12	0.25	0.248	0.155	0.538	0.594	0.414	0.431	0.151	0.152	0.383	1.317	0.113	0.606	0.193	0.381	0.254	0.318	0.328	0.973	0.208	3.271	0.508	19.241	0.857	0.111	0.316	0.726	0.951	0.542	0.566	0.435	0.437	0.36	0.044	0.067	0.69	0.033	0.058	0.111	0.853	0.443	0.662	0.564	0.284	0.794	0.11	10.657	0.353	0.008	0.144	0.09	0.864	0.326	0.232	0.143	0.324	0.293	0.377	0.091	0.216	0.029	0.117	0.125	0.18	0.318	0.07	0.683	0.388	0.297	0.635	17.086	1.548	0.971	0.325	0.193	0.02	0.014	0.176	0.068	2.235	1.11	0.202	3.274	0.108	0.699	0.145	1.615	0.188	0.929	0.367	0.264	2.285	0.327	0.157	12.197	0.17	1.825	0.1	0.16	0.308
Pseudomonas fluorescens	0.035	0.05	0.008	0.045	0.01	0.002	0.019	0.039	0.028	0.112	0.028	0.194	0.091	0.018	19.368	0.076	0.042	0.018	0.053	0.029	0.028	0.022	0.007	0.013	0.04	0.041	5.574	0.073	0.049	0.042	0.035	0.023	0.023	0.038	0.07	0.017	0.037	0.036	15.327	0.022	0.038	0.019	0.122	0.025	0.057	0.049	0.016	0.042	0.04	0.047	18.679	0.134	0.059	0.053	0.022	0.605	0.03	0.011	0.02	0.056	0.017	0.011	4.079	0.06	0.035	0.045	0.062	0.024	0.072	0.02	0.009	0.056	0.003	0.041	7.6	0.043	0.072	0.03	0.041	0.01	0.084	0.025	0.012	0.024	0.013	0.033	10.569	0.019	0.049	0.014	0.1	0.032	0.051	0.03	0.026	0.269	0.036	0.024	0.021	0.003	0.01	0.034	0.019	0.049	0.05	0.015	0.022	0.023	0.042	0.037	0.044	0.028	0.082	0.021	0.013	0.068	0.04	0.048	0.022	0.05	0.064	0.026	0.022	0.058
Cutibacterium granulosum	0.407	2.642	0.312	0.71	0.062	2.181	0.139	3.5	1.488	0.327	0.352	0.75	0.994	0.239	0.205	0.174	0.327	0.198	0.365	0.11	1.044	0.046	0.023	0.137	0.089	0.092	0.393	0.336	0.34	0.125	0.076	0.058	0.131	0.141	1.425	0.361	0.024	0.013	0.448	1.267	1.481	0.082	1.888	0.948	0.234	0.6	0.138	0.14	1.255	0.173	1.103	0.281	0.38	0.185	0.533	0.42	0.721	5.016	0.183	0.306	6.826	0.95	0.164	0.4	1.112	0.039	0.1	0.074	0.057	0.489	0.04	0.691	0.219	0.338	0.197	0.141	0.128	0.019	1.167	0.745	0.163	1.02	0.132	0.035	0.223	0.241	0.193	0.129	0.123	0.236	0.622	0.195	0.106	0.04	0.09	0.276	0.03	1.143	0.152	0.177	0.044	1.607	0.044	0.225	0.116	0.103	0.109	0.262	0.068	0.04	0.105	0.424	0.11	0.232	0.706	0.042	2.419	1.241	0.089	0.398	0.044	0.591	0.414	0.044
Kocuria palustris	0.504	0.357	0.16	0.25	0.089	0.166	0.079	0.063	0.569	0.193	0.305	1.563	0.08	0.166	0.148	1.064	0.08	0.017	0.458	0.914	0.054	0.146	0.028	0.108	0.039	0.188	0.056	0.286	0.333	0.389	0.033	0.071	0.298	0.047	0.163	0.292	0.178	0.239	1.634	6.287	0.119	0.157	0.072	0.944	1.523	0.297	0.038	0.015	0.107	0.096	0.086	0.143	0.211	0.456	0.076	0.505	0.045	0.083	0.014	0.2	0.113	0.218	0.065	2.708	0.147	0.176	0.365	0.193	0.384	0.071	0.002	0.15	0.084	0.086	0.221	0.186	0.531	0.2	0.49	0.026	0.226	1.084	0.108	0.153	0.346	0.181	0.089	0.02	0.087	0.037	0.257	13.157	0.03	0.115	0.003	2.486	0.252	0.027	0.173	0.007	0.008	0.027	0.035	0.115	0.05	0.154	0.094	1.915	0.056	0.148	2.719	0.133	0.171	0.928	0.463	0.101	0.405	0.069	0.022	0.044	0.185	0.077	0.062	0.283
Janibacter indicus	0.405	0.048	0.018	0.412	0.056	0.051	0.011	0.061	0.042	0.094	0.024	0.795	0.029	0.056	0.02	0.329	0.215	0.054	0.04	0.117	0.094	0.877	0.042	0.055	1.661	0.451	0.068	0.09	0.068	0.083	0.214	0.046	0.052	0.226	1.028	0.084	3.439	0.045	0.111	0.081	0.034	0.031	0.03	0.031	0.371	0.252	0.071	6.901	0.063	0.061	0.112	0.065	0.079	11.485	0.049	0.022	0.135	0.329	0.017	1.838	0.012	0.008	0.016	5.026	0.064	0.123	0.14	0.087	1.653	0.016	0.001	0.141	0.009	0.183	0.034	0.074	0.097	0.029	0.015	0.053	0.529	0.079	0.015	0.013	0.018	0.106	0.021	0.038	0.059	0.037	0.11	0.085	0.011	0.657	0.003	0.28	0.076	0.004	0.036	0.002	0.002	0.012	0.01	0.942	0.849	0.025	0.034	0.017	0.146	0.207	1.06	0.029	0.464	7.638	0.182	0.354	0.013	0.011	0.006	0.036	2.075	0.015	0.02	0.131
Escherichia coli	0.288	0.075	0.103	0.128	0.043	0.038	0.01	0.073	0.069	34.515	0.164	0.161	0.028	0.022	0.023	0.067	0.059	0.052	0.646	0.015	0.014	0.017	0.03	0.003	0.004	0.013	0.008	0.039	0.004	0.033	0.002	0.002	0.003	0.059	1.054	0.005	0.04	0.015	0.147	0.017	0.014	0.006	0.007	0.008	0.442	0.042	0.038	0.02	0.019	0.016	0.033	1.688	0.022	0.078	0.014	0.009	0.165	0.007	0.008	0.031	0.092	0.002	0.007	0.026	0.053	0.039	0.035	0.075	0.034	0.007	0.008	0.012	0.001	0.015	0.014	0.021	0.092	0.011	0.473	0.075	0.072	0.13	0.008	0.006	0.021	0.017	0.02	0.003	0.02	0.006	0.016	0.006	0.005	0.008	0.157	0.036	0.028	0.005	0.033	0.001	0.002	0.002	0.002	0.016	0.154	0.005	0.004	0.001	0.003	0.005	0.007	0.002	0.045	0.003	0.008	0.045	0.009	0.048	0.083	0.011	0.084	0.004	0.078	0.024
Kytococcus sedentarius	7.745	0.241	0.215	0.112	2.405	0.043	0.108	0.102	0.022	0.049	0.086	0.791	0.166	0.102	0.018	0.223	0.064	0.018	0.085	0.069	0.014	0.139	0.077	0.01	0.021	0.165	0.02	0.104	0.113	0.211	0.027	0.276	0.023	0.092	0.115	2.972	0.192	1.668	0.09	0.034	0.027	0.026	0.011	0.033	0.082	0.06	0.709	0.046	0.053	0.079	0.03	0.246	0.084	0.645	0.049	0.015	0.653	0.015	0.014	0.29	0.018	0.038	0.188	0.111	0.062	0.019	0.128	0.004	0.274	0.006	0	0.047	0.005	0.317	0.023	0.321	0.061	0.021	0.008	0.03	3.622	0.029	0.02	0.012	0.406	0.003	0.047	0.043	0.015	0.005	0.102	0.251	0.007	0.044	0.001	0.437	0.141	0.005	0.021	0.001	0.001	0.007	0.012	0.027	0.021	0.047	0.019	0.014	0.069	0.279	1.045	0.105	0.019	2.436	0.236	0.069	0.013	0.017	0.002	0.018	0.129	0.011	0.03	6.341
Minor/Unclassified	34.259	49.18	21.421	26.523	23.61	26.343	20.34	28.391	19.218	57.03	65.936	34.205	46.021	40.048	71.541	40.19	68.74	58.384	70.981	39.266	83.828	88.679	73.365	70.82	56.208	88.176	13.981	58.94	35.629	66.243	74.38	81.905	77.346	68.957	56.087	37.585	62.17	88.933	36.233	46.98	58.815	45.762	25.674	29.481	67.517	54.637	68.738	59.528	35.535	84.386	56.082	63.867	76.928	61.652	36.245	83.433	35.302	6.373	39.177	54.823	16.467	13.404	13.108	73.805	54.694	92.169	57.647	85.096	56.895	45.211	75.368	29.996	4.85	29.381	26.312	29.62	82.049	81.078	39.578	18.319	64.395	31.101	12.357	42.997	49.689	55.28	47.468	45.927	61.887	33.403	40.49	45.112	65.301	42.825	74.396	71.7	37.226	39.465	66.73	3.78	14.772	17.259	25.627	57.324	42.728	14.381	14.399	62.153	71.968	70.303	60.255	32.5	50.283	23.365	59.139	59.153	71.977	28.967	71.993	74.274	59.363	12.719	57.005	21.117
