Sample	LOR002C	LOR003C	LOR005C	LOR006C	LOR007C	LOR008C	LOR011C	LOR012C	LOR013C	LOR014C	LOR015C	LOR016C	LOR017C	LOR018C	LOR019C	LOR020C	LOR021C	LOR022C	LOR023C	LOR024C	LOR025C	LOR026C	LOR027C	LOR028C	LOR029C	LOR030C	LOR033C	LOR034C	LOR036C	LOR037C	LOR042C	LOR046C	LOR051C	LOR054C	LOR055C	LOR058C	LOR060C	LOR061C	LOR062C	LOR063C	LOR065C	LOR070C	LOR072C	LOR074C	LOR076C	LOR078C	LOR081C	LOR082C	LOR083C	LOR084C	LOR085C	LOR086C	LOR090C	LOR091C	LOR098C	LOR101C	LOR102C	LOR103C	LOR202C	LOR203C	LOR204C	LOR206C	LOR207C	LOR208C	LOR210C	LOR211C	LOR212C	LOR214C	LOR215C	LOR216C	LOR217C	LOR218C	LOR219C	LOR220C	LOR221C	LOR222C	LOR223C	LOR224C	LOR225C	LOR226C	LOR227C	LOR228C	LOR229C	LOR230C	LOR231C	LOR233C	LOR234C	LOR235C	LOR237C	LOR238C	LOR239C	LOR240C	LOR241C	LOR242C	LOR243C	LOR246C	LOR248C	LOR249C	LOR254C	LOR258C	LOR259C	LOR260C	LOR262C	LOR264C	LOR269C	LOR270C	LOR272C	LOR274C	LOR275C	LOR279C	LOR281C	LOR282C	LOR283C	LOR284C	LOR287C	LOR288C	LOR289C	LOR294C	LOR295C	LOR300C	LOR301C	LOR303C
Cutibacterium_acnes	50.6781401	52.7871852	79.6697729	68.3495434	82.4950467	64.1686053	58.3769773	81.6597275	7.5628244	52.1437924	37.478041	36.0420691	78.9514776	7.7530446	9.7039219	40.2688836	59.8078578	27.2814165	65.8944229	49.2907801	25.6183746	3.1189137	56.0998753	21.5226621	11.2525021	85.0435121	41.7014529	51.1487602	38.0860987	31.928829	59.4763723	64.9859634	43.2537149	28.8777924	52.3243256	5.2292287	3.5013146	13.3532217	61.7957944	61.0223468	78.9177737	66.4755807	68.4400314	25.5321456	43.9395126	12.2766321	15.2020706	48.2449861	26.7979452	28.3356344	42.9363269	37.9286176	19.3507606	75.6403487	22.2172407	90.4930497	77.0075032	25.7678178	67.6407117	90.5696807	89.9911436	11.7032488	63.3354583	12.7531716	28.9450426	28.6573045	32.0463943	73.6756141	41.2676746	62.0864192	91.0880291	80.4094617	48.1949481	64.2011002	24.7436955	11.1060418	76.4203138	86.9771483	34.9138887	58.485022	92.3625232	66.9853214	42.7717859	72.417489	67.8582639	80.2712785	62.7371301	84.3280467	56.9913758	48.1286895	67.6880985	61.9792571	12.1085174	5.0483216	38.9547603	85.1573516	55.8905961	98.5583913	91.0796468	78.1464842	92.7189683	30.7945234	62.6175174	78.9978589	88.7524617	79.5288581	34.8073306	62.4897767	17.9659599	84.7134518	4.2418725	29.2974672	61.1138385	5.5142851	55.1070271	85.269634	33.2882453	67.2451193	18.7457589	92.7687296	77.5174225	70.9868244
Staphylococcus_aureus	2.8818224	3.6598023	0.8580618	2.1212732	1.2556396	12.0937188	2.4964678	0.7791583	3.2863289	4.501845	12.3655684	28.95349	2.4608178	1.607411	6.6744912	4.7990862	2.7264534	6.0169226	3.1986835	7.9693916	10.9213454	6.5489072	16.0792713	46.7957646	8.0440377	0.2965753	9.1026761	3.9467919	6.9712729	6.5474794	7.2424424	5.7697991	6.5162356	4.8588699	14.0152138	44.7627731	11.4943032	0.8771259	1.8869433	3.4484641	2.1201695	4.0234408	1.6574586	5.3927188	4.1255676	4.8772337	26.0618062	25.0335125	7.0297211	1.6226362	8.8305919	7.3970239	5.3742748	2.7326697	12.8184227	0.7206191	1.6110579	20.8510899	11.6533075	0.9708001	0.2191963	6.066938	3.8166018	10.944803	9.1367399	8.7896545	5.480241	3.4712025	4.9804004	10.9502741	6.2020254	2.0745399	0.4381134	3.074552	9.6011077	8.300202	2.8186951	1.0379871	4.9481967	2.0514427	0.9620641	10.5349847	36.0187014	2.8957386	0.7132145	2.4377246	4.1582007	0.9560205	5.5212326	3.8533058	4.5554036	3.045679	6.0567823	7.2980829	4.1009464	1.8315183	5.45268	0.2474865	5.2806218	1.1691568	0.9045316	4.5451181	4.7790407	0.9803098	0.5545103	3.0010432	6.8232515	4.1909341	7.4794392	1.4844786	29.4115156	2.2418175	3.2382224	5.88248	4.6343018	1.5686377	4.3364099	5.0091774	7.5582447	0.2247557	3.7268963	1.4132831
Micrococcus_luteus	2.5902549	2.567324	3.1139162	0.4125876	3.3825881	1.1665005	3.9369828	1.908009	0.863835	17.7859779	10.8520074	4.5339837	0.8631658	0.2721149	40.0569125	0.9643111	0.1147118	0.756816	1.7240493	1.8383725	17.6874755	3.7924692	3.746679	0.2852684	1.5184444	0.0692731	1.944795	11.074161	14.297507	2.3403665	3.2761239	3.653221	1.3648872	1.3992116	0.7841664	0.5774706	12.572305	42.4462633	5.7247941	2.9753239	1.4973398	0.1446439	14.7934938	4.19055	1.3660561	1.0025752	0.1372084	6.5385166	2.6113014	0.9881638	6.8215472	4.4694846	3.4372322	0.2034693	18.4145099	0.2214076	0.4323648	0.7078129	1.2838016	0.0921989	0.3077604	5.6526637	1.2783519	2.030937	2.9364536	18.8724995	1.1414289	0.3299622	0.0244995	5.2635376	1.012724	1.0236542	0.5098947	4.6607643	3.7326184	8.671707	0.2646064	1.0357008	5.1905713	6.1986194	1.2310047	9.0784311	3.1748443	1.4081384	2.5145607	3.2199281	1.8387012	0.1265129	3.7270527	0.9430342	0.5198358	0.939136	0.0958991	3.9129477	16.9174614	0.1215012	16.2329213	0.0577468	0.087499	3.9348031	0.4848904	0.5973463	0.2828385	4.7483102	0.1936385	0.2110677	10.1605214	1.2639718	2.7407604	0.5107456	3.5601241	38.817667	8.8604363	19.2109184	1.0782387	1.3254078	0.4217059	4.6454197	5.3517304	0.1530945	1.5715584	2.8964775
Aeromonas_hydrophila	3.8930264	3.9861801	0.5441368	0.163338	0.5036881	0.5439238	2.8109165	0.594477	0.9065146	3.6876562	2.4711856	0.5075355	2.4492511	1.5152191	5.088912	5.4806576	3.1217993	7.0354121	3.2629657	9.1078761	10.1230205	3.078338	1.5859676	0.7668686	8.1298256	0.2586916	10.1737695	4.1557595	7.2333664	7.8723359	7.8682188	6.1650414	6.7187672	4.8346912	1.2102928	0.9853793	10.9377739	1.0836584	1.9269209	3.457563	2.0070725	4.1648941	1.4990534	5.1603408	3.5201712	3.0116574	3.4458027	0.3969442	6.103229	2.1268014	6.1411934	7.9577313	6.1075136	1.7372156	0.5909925	0.469969	1.1813538	2.8802351	0.3303092	0.8221972	0.1760213	5.8525329	3.5062408	11.4066325	7.3977718	10.7092342	6.0826298	3.2319799	2.351953	1.7024142	0.0363542	2.0510218	0.240096	2.9361803	10.2374499	8.3197549	2.058836	1.4826754	4.7263045	1.6387776	0.6275282	1.354821	0.2278596	2.76823	0.463851	2.4978941	4.4418516	0.8582012	5.8137482	3.8105077	4.6374829	2.6499268	2.2561514	6.6076244	3.7468122	1.2525125	2.6249937	0.1216808	0.0409086	0.8567548	0.6870346	4.4626526	4.753811	0.9719132	0.3806758	3.3819355	6.2327779	3.4003321	5.1386706	0.8676041	1.4810031	1.4848836	2.8140526	6.9330771	4.5732193	1.6388752	2.3154042	5.2227599	6.3888261	0.1172638	1.7796182	1.3068029
Moraxella_osloensis	0.2620831	0.7620036	1.0904765	3.4958582	0.0381944	0.4397917	3.092433	0.289589	0.2424201	0.4523271	1.6163932	3.6147806	0.3701348	0.1531576	0.2292003	4.789724	18.5648736	0.689439	0.6492505	0.3126166	1.164769	6.0592945	0.1328417	0.1912976	1.4641121	0.5184656	0.7313206	0.0719028	0.4808486	4.0215049	2.6641513	0.705526	8.2201431	0.1250986	0.179607	1.1389449	0.6178791	0.4347383	0.6924122	0.3057214	0.7215904	0.739173	1.5892027	0.1936483	3.5893221	0.3106017	5.2996757	1.2493981	2.9017857	2.6604409	0.4622404	0.7089713	0.5127053	0.0811302	5.5227226	0.0856388	0.1942316	0.4175851	3.0553598	0.0216939	0.2369091	1.5771495	0.6676956	0.3672379	2.2928985	4.6928672	0.8788196	8.5047762	0.0944981	2.1941425	0.1329525	0.2846922	31.6122325	2.0069523	0.7394532	23.6883269	0.4414824	0.2800736	2.2172154	2.9340276	0.1366568	3.3636378	0.8473003	1.8202314	0.7916856	3.806151	2.1203404	0.045649	0.2698205	3.2408501	0.5152759	0.199737	0.0883281	0.8394632	9.7598414	0.0225002	1.6840999	0.0103119	0.0624993	0.2110542	0.0895576	0.2304805	0.188559	3.3271758	0.195839	0.0776341	0.8529064	0.0892215	0.2071386	0.6672858	11.1112287	0.5451262	0.5891248	2.7004557	0.4275774	0.1873	0.7505835	1.4216586	2.5797331	0.3365907	0.6342794	0.2129605
Burkholderia_dolosa	0.755673	0.6363686	0.1718327	1.1168503	0.2172304	0.1429046	0.8020567	0.2994241	0.1365747	0.5451732	0.6855478	0.1945553	0.5638772	1.3739573	2.2122816	0.6366326	0.2294236	0.8602319	0.3458384	0.993841	0.7459757	48.8070764	0.3741257	0.4497172	0.732056	0.1742651	0.8850273	0.6707187	0.8667657	0.9429736	0.7132011	0.5725473	0.8893781	1.4055191	0.1349987	1.0253703	0.8764242	0.5074071	0.4141681	0.5950648	0.5670776	1.0348422	0.2755992	5.2238575	0.6797662	37.3410132	1.3736435	0.1887112	1.0059932	1.1696632	1.9189979	1.4745525	0.8062817	0.5666233	1.7974322	0.0469969	0.0931247	0.8633358	0.0407381	0.0639969	0.1217757	1.5680645	0.7566099	3.8726909	0.7057945	1.5154577	0.927195	0.1847788	37.2182556	0.4472444	0.00935	0.1856688	0.1188104	0.9753518	0.9987037	0.7788568	0.2080061	0.5464293	0.5086453	0.4137454	0.1038592	0.3568718	0.055699	0.2199061	0.2214627	0.3180388	0.6457583	0.0952108	0.8712427	0.5858914	0.6931145	0.7977074	42.7053628	1.6201639	1.195354	0.5205052	0.4929683	0.0216551	0.0215907	0.1891129	0.090837	2.4253317	1.4978488	0.2172635	3.5845133	0.2717194	1.5527271	0.3717564	1.6315994	0.2547095	1.0332088	0.4124677	0.5341398	2.4866651	1.0516811	0.2744466	32.0416932	0.5840147	2.0990726	0.135722	0.3312797	0.3398763
Pseudomonas_fluorescens	0.0393125	0.0682799	0.00881	0.0487893	0.00955	0.00222	0.0424931	0.0295053	0.1894974	0.0690394	0.2667209	0.1508508	0.0274709	28.1363846	0.0830436	0.0786428	0.0389201	0.0861799	0.0372837	0.1399776	0.1439602	0.0216403	0.0352437	0.0738342	0.1229625	6.0116032	0.1310552	0.0550506	0.0928678	0.0768033	0.1058298	0.0886525	0.0836544	0.0746386	0.0199563	0.0591867	0.1621385	19.4025855	0.0351803	0.070971	0.0318583	0.1350719	0.033484	0.0867545	0.0665414	0.0314533	0.067045	0.059867	0.1559442	28.7591331	0.3101613	0.1644382	0.077257	0.0283312	2.4862441	0.0114881	0.0266071	0.0698016	0.0209196	0.0119316	4.5034872	0.1181045	0.058717	0.2503895	0.0784216	0.1111336	0.0875364	0.0329962	0.0349993	0.075743	0.00312	0.059414	9.3909729	0.0494988	0.2356823	0.1010233	0.0594303	0.0125747	0.1553246	0.0302477	0.0142123	0.0419849	0.0236299	0.0646783	18.3587347	0.0361017	0.1066205	0.0195639	0.1437361	0.0487013	0.1367989	0.0421805	0.0681388	0.3085027	0.0435114	0.0360004	0.0525499	0.00309	0.0147726	0.0376136	0.0268673	0.054977	0.0690498	0.0167933	0.0396079	0.0582256	0.0940384	0.0966567	0.044897	0.0424516	0.0889237	0.0245251	0.0294562	0.0712635	0.1141977	0.0741396	0.0636537	0.2069081	0.0746437	0.029316	0.04646	0.0645335
Cutibacterium_granulosum	0.4400812	3.5819632	0.3425638	0.7466882	0.0740016	2.4038994	3.6862737	1.6162345	0.5497132	0.8475182	0.8033763	1.3957226	0.3441097	0.3018542	0.1904467	0.6104183	0.4055881	0.5672203	0.1517061	4.6425905	0.3075514	0.062216	0.3687036	0.1493464	0.2630826	0.4242975	0.5420186	0.3797369	0.257966	0.1621403	0.2714766	0.4838948	0.3104018	1.4759527	0.4237786	0.0415907	0.0569676	0.5698768	2.0244663	2.68962	0.130619	2.0037437	1.2195907	0.3578621	0.7802307	0.2693192	0.216727	1.6281219	0.532045	1.7017514	0.5602914	1.0216735	0.2584596	0.6850991	1.7118402	5.2406763	0.2434547	0.3722753	7.5024223	1.0315429	0.1837706	0.723163	1.8638438	0.2170042	0.123234	0.3788644	0.0656523	0.8067576	0.1434971	0.8295662	0.2274734	0.4183738	0.2438089	0.1586212	0.3770917	0.0619175	1.6541438	0.841364	0.2782187	1.1008005	0.1443096	0.058133	0.3763904	0.4435081	0.3365536	0.2200485	0.2474401	0.3078047	0.7855053	0.2877804	0.243958	0.0496241	0.2246057	0.2854175	0.0350508	1.7145171	0.3803613	0.1825213	0.0499994	1.6748511	0.0562933	0.2336523	0.1540341	0.108107	0.1199239	0.6356292	0.1487119	0.099135	0.1071407	0.56381	0.1143305	0.2575136	1.3844432	0.0453495	6.4189728	1.6076585	0.233397	1.3282163	0.0497625	0.6416938	0.8362792	0.046249
Janibacter_indicus	0.4433573	0.0655487	0.0198268	0.4486493	0.0680337	0.0564972	0.0648019	0.0448043	0.1707184	0.0618974	0.8697888	0.0408848	0.080967	0.0297393	0.3687136	0.4119387	0.1126634	0.0626763	0.1478491	0.4339306	5.7976705	0.1136118	0.1491081	2.8275133	1.3011152	0.0757674	0.1456169	0.0763968	0.1712894	0.4672199	0.216261	0.1920804	0.4997248	1.0827858	0.0986078	5.5859487	0.2059597	0.1427879	0.1311266	0.0618722	0.0509733	0.0319067	0.0399232	0.5747483	0.3274881	0.1435059	10.9002744	0.0832932	0.1895793	0.1783969	0.1280666	0.2156567	16.1537273	0.0631012	0.0937436	0.3456883	0.0239464	2.3059025	0.0132124	0.00868	0.0166058	9.1667272	0.1073681	0.6899622	0.175515	0.4394827	1.9142834	0.0280468	0.0035	0.1731269	0.00935	0.2302294	0.0433163	0.083248	0.2887108	0.0945056	0.0212251	0.0617305	0.9182925	0.0853417	0.0163988	0.0209925	0.0320691	0.1977307	0.0383636	0.067046	0.1186908	0.0482575	0.1399536	0.1269185	0.0250798	0.8262412	0.00757	0.2927628	0.0918573	0.006	0.0900856	0.00206	0.00227	0.0125379	0.0127939	1.0033303	1.1419769	0.0272891	0.0374074	0.0412431	0.3214801	0.5278941	1.1020183	0.0384717	0.4880218	8.557032	0.3652573	0.3768329	0.0345249	0.0156083	0.0159134	0.1201402	2.3591948	0.0162866	0.0404	0.1408981
Kocuria_palustris	0.5460065	0.4916152	0.1762386	0.2640985	0.1086152	0.1861083	0.0669266	0.620704	0.3311937	0.7308654	1.6581687	0.1127857	0.2385634	0.2170971	1.1770047	0.1497959	0.0368716	0.7160765	1.1275102	0.2752893	0.9815469	0.0757412	0.292794	0.0654439	0.5404633	0.0606139	0.4659742	0.3741195	0.8110451	0.070403	0.3266921	1.108156	0.1034673	0.1713535	0.3451271	0.2863359	1.0604733	2.0793493	10.0711602	0.2165526	0.2516805	0.0765762	1.2195907	2.3377227	0.3862011	0.0747017	0.024947	0.1392558	0.2935421	0.1349611	0.2841478	0.5714902	0.6405304	0.0978713	2.0664357	0.0866832	0.0186249	0.2485917	0.1255175	0.2386324	0.0741725	4.9258667	0.2449336	0.9959938	0.4555922	0.9749444	0.4422893	0.1187864	0.007	0.1803405	0.0882888	0.1064501	0.2747491	0.2081201	1.5731794	0.6550218	0.6947687	0.0297221	0.3891648	1.1742592	0.1180715	0.2486799	0.5890594	0.338175	0.1551983	0.0343826	0.1750186	0.0482575	0.3240367	19.4569067	0.0683995	0.1439099	0.00757	2.5813492	0.3045796	0.0405004	0.4329113	0.00722	0.00909	0.029255	0.0447788	0.1194693	0.0677219	0.1616357	0.1034206	4.6701764	0.1224686	0.3667997	2.7774943	0.1764394	0.1778474	1.032284	0.9190346	0.1068953	1.0782387	0.0884472	0.0583492	0.146838	0.2092287	0.0846906	0.1252399	0.3043829
