Sample	City	Cluster	SMEG
LOR274C	Dalian	Cluster 5	1
LOR225C	Dalian	Cluster 5	1
LOR027C	Baoding	Cluster 4	2.951326279
LOR300C	Dalian	Cluster 1	2.745756746
LOR101C	Baoding	Cluster 4	2.316111478
LOR078C	Baoding	Cluster 4	2.27217958
LOR227C	Dalian	Cluster 5	2.258849876
LOR219C	Dalian	Cluster 4	2.149882948
LOR003C	Baoding	Cluster 1	1.985889665
LOR223C	Dalian	Cluster 5	1.979849361
LOR224C	Dalian	Cluster 4	1.927543646
LOR300C	Dalian	Cluster 5	1.792979559
LOR233C	Dalian	Cluster 4	1.680457926
LOR218C	Dalian	Cluster 5	1.577502304
LOR281C	Dalian	Cluster 3	1.49635571
LOR037C	Baoding	Cluster 1	1.483922119
LOR238C	Dalian	Cluster 5	1.461718946
LOR259C	Dalian	Cluster 5	1.450984914
LOR072C	Baoding	Cluster 4	1.447407211
LOR026C	Baoding	Cluster 4	1.443447698
LOR203C	Dalian	Cluster 5	1.436737266
LOR224C	Dalian	Cluster 5	1.413263261
LOR006C	Baoding	Cluster 4	1.402942824
LOR029C	Baoding	Cluster 4	1.373190121
LOR248C	Dalian	Cluster 4	1.366374041
LOR007C	Baoding	Cluster 4	1.330382582
LOR240C	Dalian	Cluster 4	1.291373207
LOR062C	Baoding	Cluster 4	1.286979866
LOR091C	Baoding	Cluster 4	1.286962823
LOR210C	Dalian	Cluster 5	1.273698502
LOR294C	Dalian	Cluster 2	1.26895514
LOR283C	Dalian	Cluster 4	1.251659597
LOR279C	Dalian	Cluster 4	1.25109453
LOR002C	Baoding	Cluster 1	1.212451133
LOR101C	Baoding	Cluster 5	1.207309204
LOR018C	Baoding	Cluster 4	1.206309404
LOR028C	Baoding	Cluster 5	1.169065012
LOR254C	Dalian	Cluster 4	1.166485303
LOR058C	Baoding	Cluster 4	1.166416206
LOR222C	Dalian	Cluster 1	1.140523818
LOR231C	Dalian	Cluster 1	1.128395774
LOR229C	Dalian	Cluster 5	1.127118195
LOR270C	Dalian	Cluster 4	1.114263057
LOR009C	Baoding	Cluster 1	1.112231566
LOR207C	Dalian	Cluster 2	1.109685562
LOR008C	Baoding	Cluster 5	1.081184351
LOR246C	Dalian	Cluster 4	1.066379412
LOR083C	Baoding	Cluster 4	1.050482491
LOR289C	Dalian	Cluster 5	1.041977722
LOR011C	Baoding	Cluster 4	1.028660766
LOR023C	Baoding	Cluster 1	1.022003138
LOR005C	Baoding	Cluster 1	1
LOR012C	Baoding	Cluster 1	1
LOR014C	Baoding	Cluster 1	1
LOR016C	Baoding	Cluster 1	1
LOR019C	Baoding	Cluster 1	1
LOR020C	Baoding	Cluster 1	1
LOR021C	Baoding	Cluster 1	1
LOR022C	Baoding	Cluster 1	1
LOR028C	Baoding	Cluster 1	1
LOR030C	Baoding	Cluster 1	1
LOR033C	Baoding	Cluster 1	1
LOR034C	Baoding	Cluster 1	1
LOR036C	Baoding	Cluster 1	1
LOR042C	Baoding	Cluster 1	1
LOR051C	Baoding	Cluster 1	1
LOR054C	Baoding	Cluster 1	1
LOR055C	Baoding	Cluster 1	1
LOR063C	Baoding	Cluster 1	1
LOR076C	Baoding	Cluster 1	1
LOR082C	Baoding	Cluster 1	1
LOR084C	Baoding	Cluster 1	1
LOR086C	Baoding	Cluster 1	1
LOR090C	Baoding	Cluster 1	1
LOR098C	Baoding	Cluster 1	1
LOR099C	Baoding	Cluster 1	1
LOR102C	Baoding	Cluster 1	1
LOR103C	Baoding	Cluster 1	1
LOR202C	Dalian	Cluster 1	1
LOR203C	Dalian	Cluster 1	1
LOR204C	Dalian	Cluster 1	1
LOR206C	Dalian	Cluster 1	1
LOR210C	Dalian	Cluster 1	1
LOR212C	Dalian	Cluster 1	1
LOR214C	Dalian	Cluster 1	1
LOR215C	Dalian	Cluster 1	1
LOR216C	Dalian	Cluster 1	1
LOR217C	Dalian	Cluster 1	1
LOR218C	Dalian	Cluster 1	1
LOR220C	Dalian	Cluster 1	1
LOR221C	Dalian	Cluster 1	1
LOR223C	Dalian	Cluster 1	1
LOR225C	Dalian	Cluster 1	1
LOR226C	Dalian	Cluster 1	1
LOR227C	Dalian	Cluster 1	1
LOR228C	Dalian	Cluster 1	1
LOR229C	Dalian	Cluster 1	1
LOR230C	Dalian	Cluster 1	1
LOR234C	Dalian	Cluster 1	1
LOR235C	Dalian	Cluster 1	1
LOR237C	Dalian	Cluster 1	1
LOR238C	Dalian	Cluster 1	1
LOR239C	Dalian	Cluster 1	1
LOR242C	Dalian	Cluster 1	1
LOR243C	Dalian	Cluster 1	1
LOR249C	Dalian	Cluster 1	1
LOR258C	Dalian	Cluster 1	1
LOR259C	Dalian	Cluster 1	1
LOR260C	Dalian	Cluster 1	1
LOR262C	Dalian	Cluster 1	1
LOR264C	Dalian	Cluster 1	1
LOR269C	Dalian	Cluster 1	1
LOR272C	Dalian	Cluster 1	1
LOR275C	Dalian	Cluster 1	1
LOR282C	Dalian	Cluster 1	1
LOR284C	Dalian	Cluster 1	1
LOR287C	Dalian	Cluster 1	1
LOR288C	Dalian	Cluster 1	1
LOR289C	Dalian	Cluster 1	1
LOR295C	Dalian	Cluster 1	1
LOR301C	Dalian	Cluster 1	1
LOR303C	Dalian	Cluster 1	1
LOR012C	Baoding	Cluster 2	1
LOR015C	Baoding	Cluster 2	1
LOR016C	Baoding	Cluster 2	1
LOR021C	Baoding	Cluster 2	1
LOR030C	Baoding	Cluster 2	1
LOR054C	Baoding	Cluster 2	1
LOR055C	Baoding	Cluster 2	1
LOR063C	Baoding	Cluster 2	1
LOR065C	Baoding	Cluster 2	1
LOR082C	Baoding	Cluster 2	1
LOR090C	Baoding	Cluster 2	1
LOR202C	Dalian	Cluster 2	1
LOR214C	Dalian	Cluster 2	1
LOR216C	Dalian	Cluster 2	1
LOR217C	Dalian	Cluster 2	1
LOR226C	Dalian	Cluster 2	1
LOR264C	Dalian	Cluster 2	1
LOR269C	Dalian	Cluster 2	1
LOR288C	Dalian	Cluster 2	1
LOR303C	Dalian	Cluster 2	1
LOR016C	Baoding	Cluster 3	1
LOR017C	Baoding	Cluster 3	1
LOR034C	Baoding	Cluster 3	1
LOR046C	Baoding	Cluster 3	1
LOR054C	Baoding	Cluster 3	1
LOR055C	Baoding	Cluster 3	1
LOR070C	Baoding	Cluster 3	1
LOR074C	Baoding	Cluster 3	1
LOR082C	Baoding	Cluster 3	1
LOR086C	Baoding	Cluster 3	1
LOR099C	Baoding	Cluster 3	1
LOR103C	Baoding	Cluster 3	1
LOR204C	Dalian	Cluster 3	1
LOR212C	Dalian	Cluster 3	1
LOR262C	Dalian	Cluster 3	1
LOR275C	Dalian	Cluster 3	1
LOR288C	Dalian	Cluster 3	1
LOR295C	Dalian	Cluster 3	1
LOR301C	Dalian	Cluster 3	1
LOR005C	Baoding	Cluster 4	1
LOR012C	Baoding	Cluster 4	1
LOR014C	Baoding	Cluster 4	1
LOR015C	Baoding	Cluster 4	1
LOR016C	Baoding	Cluster 4	1
LOR017C	Baoding	Cluster 4	1
LOR020C	Baoding	Cluster 4	1
LOR021C	Baoding	Cluster 4	1
LOR022C	Baoding	Cluster 4	1
LOR028C	Baoding	Cluster 4	1
LOR030C	Baoding	Cluster 4	1
LOR033C	Baoding	Cluster 4	1
LOR034C	Baoding	Cluster 4	1
LOR036C	Baoding	Cluster 4	1
LOR042C	Baoding	Cluster 4	1
LOR046C	Baoding	Cluster 4	1
LOR051C	Baoding	Cluster 4	1
LOR054C	Baoding	Cluster 4	1
LOR055C	Baoding	Cluster 4	1
LOR063C	Baoding	Cluster 4	1
LOR065C	Baoding	Cluster 4	1
LOR070C	Baoding	Cluster 4	1
LOR074C	Baoding	Cluster 4	1
LOR076C	Baoding	Cluster 4	1
LOR081C	Baoding	Cluster 4	1
LOR082C	Baoding	Cluster 4	1
LOR084C	Baoding	Cluster 4	1
LOR090C	Baoding	Cluster 4	1
LOR098C	Baoding	Cluster 4	1
LOR099C	Baoding	Cluster 4	1
LOR102C	Baoding	Cluster 4	1
LOR103C	Baoding	Cluster 4	1
LOR202C	Dalian	Cluster 4	1
LOR203C	Dalian	Cluster 4	1
LOR204C	Dalian	Cluster 4	1
LOR206C	Dalian	Cluster 4	1
LOR210C	Dalian	Cluster 4	1
LOR214C	Dalian	Cluster 4	1
LOR215C	Dalian	Cluster 4	1
LOR216C	Dalian	Cluster 4	1
LOR217C	Dalian	Cluster 4	1
LOR218C	Dalian	Cluster 4	1
LOR220C	Dalian	Cluster 4	1
LOR221C	Dalian	Cluster 4	1
LOR223C	Dalian	Cluster 4	1
LOR225C	Dalian	Cluster 4	1
LOR226C	Dalian	Cluster 4	1
LOR227C	Dalian	Cluster 4	1
LOR228C	Dalian	Cluster 4	1
LOR229C	Dalian	Cluster 4	1
LOR230C	Dalian	Cluster 4	1
LOR234C	Dalian	Cluster 4	1
LOR235C	Dalian	Cluster 4	1
LOR237C	Dalian	Cluster 4	1
LOR238C	Dalian	Cluster 4	1
LOR239C	Dalian	Cluster 4	1
LOR241C	Dalian	Cluster 4	1
LOR242C	Dalian	Cluster 4	1
LOR243C	Dalian	Cluster 4	1
LOR249C	Dalian	Cluster 4	1
LOR258C	Dalian	Cluster 4	1
LOR259C	Dalian	Cluster 4	1
LOR260C	Dalian	Cluster 4	1
LOR262C	Dalian	Cluster 4	1
LOR264C	Dalian	Cluster 4	1
LOR269C	Dalian	Cluster 4	1
LOR272C	Dalian	Cluster 4	1
LOR274C	Dalian	Cluster 4	1
LOR275C	Dalian	Cluster 4	1
LOR282C	Dalian	Cluster 4	1
LOR284C	Dalian	Cluster 4	1
LOR287C	Dalian	Cluster 4	1
LOR288C	Dalian	Cluster 4	1
LOR289C	Dalian	Cluster 4	1
LOR295C	Dalian	Cluster 4	1
LOR301C	Dalian	Cluster 4	1
LOR303C	Dalian	Cluster 4	1
LOR014C	Baoding	Cluster 5	1
LOR016C	Baoding	Cluster 5	1
LOR021C	Baoding	Cluster 5	1
LOR022C	Baoding	Cluster 5	1
LOR026C	Baoding	Cluster 5	1
LOR027C	Baoding	Cluster 5	1
LOR030C	Baoding	Cluster 5	1
LOR033C	Baoding	Cluster 5	1
LOR036C	Baoding	Cluster 5	1
LOR042C	Baoding	Cluster 5	1
LOR046C	Baoding	Cluster 5	1
LOR051C	Baoding	Cluster 5	1
LOR054C	Baoding	Cluster 5	1
LOR055C	Baoding	Cluster 5	1
LOR065C	Baoding	Cluster 5	1
LOR070C	Baoding	Cluster 5	1
LOR072C	Baoding	Cluster 5	1
LOR078C	Baoding	Cluster 5	1
LOR082C	Baoding	Cluster 5	1
LOR086C	Baoding	Cluster 5	1
LOR099C	Baoding	Cluster 5	1
LOR102C	Baoding	Cluster 5	1
LOR202C	Dalian	Cluster 5	1
LOR212C	Dalian	Cluster 5	1
LOR214C	Dalian	Cluster 5	1
LOR215C	Dalian	Cluster 5	1
LOR216C	Dalian	Cluster 5	1
LOR217C	Dalian	Cluster 5	1
LOR219C	Dalian	Cluster 5	1
LOR220C	Dalian	Cluster 5	1
LOR221C	Dalian	Cluster 5	1
LOR226C	Dalian	Cluster 5	1
LOR228C	Dalian	Cluster 5	1
LOR233C	Dalian	Cluster 5	1
LOR234C	Dalian	Cluster 5	1
LOR241C	Dalian	Cluster 5	1
LOR260C	Dalian	Cluster 5	1
LOR262C	Dalian	Cluster 5	1
LOR264C	Dalian	Cluster 5	1
LOR269C	Dalian	Cluster 5	1
LOR275C	Dalian	Cluster 5	1
LOR279C	Dalian	Cluster 5	1
LOR288C	Dalian	Cluster 5	1
LOR295C	Dalian	Cluster 5	1
LOR301C	Dalian	Cluster 5	1
LOR303C	Dalian	Cluster 5	1
LOR006C	Baoding	Cluster 1	0
LOR007C	Baoding	Cluster 1	0
LOR008C	Baoding	Cluster 1	0
LOR011C	Baoding	Cluster 1	0
LOR015C	Baoding	Cluster 1	0
LOR017C	Baoding	Cluster 1	0
LOR018C	Baoding	Cluster 1	0
LOR026C	Baoding	Cluster 1	0
LOR027C	Baoding	Cluster 1	0
LOR029C	Baoding	Cluster 1	0
LOR046C	Baoding	Cluster 1	0
LOR058C	Baoding	Cluster 1	0
LOR062C	Baoding	Cluster 1	0
LOR065C	Baoding	Cluster 1	0
LOR070C	Baoding	Cluster 1	0
LOR072C	Baoding	Cluster 1	0
LOR074C	Baoding	Cluster 1	0
LOR078C	Baoding	Cluster 1	0
LOR081C	Baoding	Cluster 1	0
LOR083C	Baoding	Cluster 1	0
LOR091C	Baoding	Cluster 1	0
LOR101C	Baoding	Cluster 1	0
LOR207C	Dalian	Cluster 1	0
LOR219C	Dalian	Cluster 1	0
LOR224C	Dalian	Cluster 1	0
LOR233C	Dalian	Cluster 1	0
LOR240C	Dalian	Cluster 1	0
LOR241C	Dalian	Cluster 1	0
LOR246C	Dalian	Cluster 1	0
LOR248C	Dalian	Cluster 1	0
LOR254C	Dalian	Cluster 1	0
LOR270C	Dalian	Cluster 1	0
LOR274C	Dalian	Cluster 1	0
LOR279C	Dalian	Cluster 1	0
LOR281C	Dalian	Cluster 1	0
LOR283C	Dalian	Cluster 1	0
LOR294C	Dalian	Cluster 1	0
LOR002C	Baoding	Cluster 2	0
LOR003C	Baoding	Cluster 2	0
LOR005C	Baoding	Cluster 2	0
LOR006C	Baoding	Cluster 2	0
LOR007C	Baoding	Cluster 2	0
LOR008C	Baoding	Cluster 2	0
LOR009C	Baoding	Cluster 2	0
LOR011C	Baoding	Cluster 2	0
LOR014C	Baoding	Cluster 2	0
LOR017C	Baoding	Cluster 2	0
LOR018C	Baoding	Cluster 2	0
LOR019C	Baoding	Cluster 2	0
LOR020C	Baoding	Cluster 2	0
LOR022C	Baoding	Cluster 2	0
LOR023C	Baoding	Cluster 2	0
LOR026C	Baoding	Cluster 2	0
LOR027C	Baoding	Cluster 2	0
LOR028C	Baoding	Cluster 2	0
LOR029C	Baoding	Cluster 2	0
LOR033C	Baoding	Cluster 2	0
LOR034C	Baoding	Cluster 2	0
LOR036C	Baoding	Cluster 2	0
LOR037C	Baoding	Cluster 2	0
LOR042C	Baoding	Cluster 2	0
LOR046C	Baoding	Cluster 2	0
LOR051C	Baoding	Cluster 2	0
LOR058C	Baoding	Cluster 2	0
LOR062C	Baoding	Cluster 2	0
LOR070C	Baoding	Cluster 2	0
LOR072C	Baoding	Cluster 2	0
LOR074C	Baoding	Cluster 2	0
LOR076C	Baoding	Cluster 2	0
LOR078C	Baoding	Cluster 2	0
LOR081C	Baoding	Cluster 2	0
LOR083C	Baoding	Cluster 2	0
LOR084C	Baoding	Cluster 2	0
LOR086C	Baoding	Cluster 2	0
LOR091C	Baoding	Cluster 2	0
LOR098C	Baoding	Cluster 2	0
LOR099C	Baoding	Cluster 2	0
LOR101C	Baoding	Cluster 2	0
LOR102C	Baoding	Cluster 2	0
LOR103C	Baoding	Cluster 2	0
LOR203C	Dalian	Cluster 2	0
LOR204C	Dalian	Cluster 2	0
LOR206C	Dalian	Cluster 2	0
LOR210C	Dalian	Cluster 2	0
LOR212C	Dalian	Cluster 2	0
LOR215C	Dalian	Cluster 2	0
LOR218C	Dalian	Cluster 2	0
LOR219C	Dalian	Cluster 2	0
LOR220C	Dalian	Cluster 2	0
LOR221C	Dalian	Cluster 2	0
LOR222C	Dalian	Cluster 2	0
LOR223C	Dalian	Cluster 2	0
LOR224C	Dalian	Cluster 2	0
LOR225C	Dalian	Cluster 2	0
LOR227C	Dalian	Cluster 2	0
LOR228C	Dalian	Cluster 2	0
LOR229C	Dalian	Cluster 2	0
LOR230C	Dalian	Cluster 2	0
LOR231C	Dalian	Cluster 2	0
LOR233C	Dalian	Cluster 2	0
LOR234C	Dalian	Cluster 2	0
LOR235C	Dalian	Cluster 2	0
LOR237C	Dalian	Cluster 2	0
LOR238C	Dalian	Cluster 2	0
LOR239C	Dalian	Cluster 2	0
LOR240C	Dalian	Cluster 2	0
LOR241C	Dalian	Cluster 2	0
LOR242C	Dalian	Cluster 2	0
LOR243C	Dalian	Cluster 2	0
LOR246C	Dalian	Cluster 2	0
LOR248C	Dalian	Cluster 2	0
LOR249C	Dalian	Cluster 2	0
LOR254C	Dalian	Cluster 2	0
LOR258C	Dalian	Cluster 2	0
LOR259C	Dalian	Cluster 2	0
LOR260C	Dalian	Cluster 2	0
LOR262C	Dalian	Cluster 2	0
LOR270C	Dalian	Cluster 2	0
LOR272C	Dalian	Cluster 2	0
LOR274C	Dalian	Cluster 2	0
LOR275C	Dalian	Cluster 2	0
LOR279C	Dalian	Cluster 2	0
LOR281C	Dalian	Cluster 2	0
LOR282C	Dalian	Cluster 2	0
LOR283C	Dalian	Cluster 2	0
LOR284C	Dalian	Cluster 2	0
LOR287C	Dalian	Cluster 2	0
LOR289C	Dalian	Cluster 2	0
LOR295C	Dalian	Cluster 2	0
LOR300C	Dalian	Cluster 2	0
LOR301C	Dalian	Cluster 2	0
LOR002C	Baoding	Cluster 3	0
LOR003C	Baoding	Cluster 3	0
LOR005C	Baoding	Cluster 3	0
LOR006C	Baoding	Cluster 3	0
LOR007C	Baoding	Cluster 3	0
LOR008C	Baoding	Cluster 3	0
LOR009C	Baoding	Cluster 3	0
LOR011C	Baoding	Cluster 3	0
LOR012C	Baoding	Cluster 3	0
LOR014C	Baoding	Cluster 3	0
LOR015C	Baoding	Cluster 3	0
LOR018C	Baoding	Cluster 3	0
LOR019C	Baoding	Cluster 3	0
LOR020C	Baoding	Cluster 3	0
LOR021C	Baoding	Cluster 3	0
LOR022C	Baoding	Cluster 3	0
LOR023C	Baoding	Cluster 3	0
LOR026C	Baoding	Cluster 3	0
LOR027C	Baoding	Cluster 3	0
LOR028C	Baoding	Cluster 3	0
LOR029C	Baoding	Cluster 3	0
LOR030C	Baoding	Cluster 3	0
LOR033C	Baoding	Cluster 3	0
LOR036C	Baoding	Cluster 3	0
LOR037C	Baoding	Cluster 3	0
LOR042C	Baoding	Cluster 3	0
LOR051C	Baoding	Cluster 3	0
LOR058C	Baoding	Cluster 3	0
LOR062C	Baoding	Cluster 3	0
LOR063C	Baoding	Cluster 3	0
LOR065C	Baoding	Cluster 3	0
LOR072C	Baoding	Cluster 3	0
LOR076C	Baoding	Cluster 3	0
LOR078C	Baoding	Cluster 3	0
LOR081C	Baoding	Cluster 3	0
LOR083C	Baoding	Cluster 3	0
LOR084C	Baoding	Cluster 3	0
LOR090C	Baoding	Cluster 3	0
LOR091C	Baoding	Cluster 3	0
LOR098C	Baoding	Cluster 3	0
