Sample	Cutotype
LOR002C	Cutotype 1
LOR003C	Cutotype 1
LOR005C	Cutotype 1
LOR006C	Cutotype 1
LOR007C	Cutotype 1
LOR008C	Cutotype 1
LOR009C	Cutotype 1
LOR011C	Cutotype 1
LOR012C	Cutotype 1
LOR014C	Cutotype 1
LOR017C	Cutotype 1
LOR020C	Cutotype 1
LOR021C	Cutotype 1
LOR023C	Cutotype 1
LOR027C	Cutotype 1
LOR030C	Cutotype 1
LOR034C	Cutotype 1
LOR042C	Cutotype 1
LOR046C	Cutotype 1
LOR051C	Cutotype 1
LOR055C	Cutotype 1
LOR062C	Cutotype 1
LOR063C	Cutotype 1
LOR065C	Cutotype 1
LOR070C	Cutotype 1
LOR072C	Cutotype 1
LOR076C	Cutotype 1
LOR082C	Cutotype 1
LOR091C	Cutotype 1
LOR099C	Cutotype 1
LOR101C	Cutotype 1
LOR102C	Cutotype 1
LOR202C	Cutotype 1
LOR203C	Cutotype 1
LOR204C	Cutotype 1
LOR207C	Cutotype 1
LOR214C	Cutotype 1
LOR216C	Cutotype 1
LOR217C	Cutotype 1
LOR218C	Cutotype 1
LOR219C	Cutotype 1
LOR220C	Cutotype 1
LOR223C	Cutotype 1
LOR224C	Cutotype 1
LOR226C	Cutotype 1
LOR227C	Cutotype 1
LOR228C	Cutotype 1
LOR229C	Cutotype 1
LOR230C	Cutotype 1
LOR231C	Cutotype 1
LOR233C	Cutotype 1
LOR234C	Cutotype 1
LOR235C	Cutotype 1
LOR237C	Cutotype 1
LOR238C	Cutotype 1
LOR239C	Cutotype 1
LOR240C	Cutotype 1
LOR246C	Cutotype 1
LOR248C	Cutotype 1
LOR249C	Cutotype 1
LOR254C	Cutotype 1
LOR258C	Cutotype 1
LOR259C	Cutotype 1
LOR262C	Cutotype 1
LOR264C	Cutotype 1
LOR269C	Cutotype 1
LOR270C	Cutotype 1
LOR274C	Cutotype 1
LOR279C	Cutotype 1
LOR283C	Cutotype 1
LOR287C	Cutotype 1
LOR288C	Cutotype 1
LOR294C	Cutotype 1
LOR300C	Cutotype 1
LOR301C	Cutotype 1
LOR303C	Cutotype 1
LOR015C	Cutotype 2
LOR016C	Cutotype 2
LOR018C	Cutotype 2
LOR019C	Cutotype 2
LOR022C	Cutotype 2
LOR026C	Cutotype 2
LOR028C	Cutotype 2
LOR029C	Cutotype 2
LOR033C	Cutotype 2
LOR036C	Cutotype 2
LOR037C	Cutotype 2
LOR054C	Cutotype 2
LOR058C	Cutotype 2
LOR074C	Cutotype 2
LOR078C	Cutotype 2
LOR081C	Cutotype 2
LOR083C	Cutotype 2
LOR084C	Cutotype 2
LOR086C	Cutotype 2
LOR090C	Cutotype 2
LOR098C	Cutotype 2
LOR103C	Cutotype 2
LOR206C	Cutotype 2
LOR210C	Cutotype 2
LOR212C	Cutotype 2
LOR215C	Cutotype 2
LOR221C	Cutotype 2
LOR222C	Cutotype 2
LOR225C	Cutotype 2
LOR241C	Cutotype 2
LOR242C	Cutotype 2
LOR243C	Cutotype 2
LOR260C	Cutotype 2
LOR272C	Cutotype 2
LOR275C	Cutotype 2
LOR281C	Cutotype 2
LOR282C	Cutotype 2
LOR284C	Cutotype 2
LOR289C	Cutotype 2
LOR295C	Cutotype 2
