Pathway	Prevalence	Cutotype	gini.simpson	bray_curtis	Shared	within_diversity	between_diversity	group
PWY_7219__adenosine_ribonucleotides_de_novo_biosynthesis	90.90909091	C1	0.08387988	0.2597942	Yes	low	low	simple_conserved
ARGSYNBSUB_PWY__L_arginine_biosynthesis_II_(acetyl_cycle)	88.31168831	C1	0.06834921	0.2029478	Yes	low	low	simple_conserved
COA_PWY_1__coenzyme_A_biosynthesis_II_(mammalian)	88.31168831	C1	0.08532531	0.2118186	Yes	low	low	simple_conserved
COA_PWY__coenzyme_A_biosynthesis_I	88.31168831	C1	0.07792011	0.2239264	Yes	low	low	simple_conserved
PWY_3781__aerobic_respiration_I_(cytochrome_c)	89.61038961	C1	0.08775209	0.2383209	Yes	low	low	simple_conserved
PWY_3841__folate_transformations_II	88.31168831	C1	0.09172557	0.2187613	Yes	low	low	simple_conserved
PWY_6122__5_aminoimidazole_ribonucleotide_biosynthesis_II	88.31168831	C1	0.1210504	0.2477317	Yes	low	low	simple_conserved
PWY_6147__6_hydroxymethyl_dihydropterin_diphosphate_biosynthesis_I	87.01298701	C1	0.05223135	0.2215225	Yes	low	low	simple_conserved
PWY_6277__superpathway_of_5_aminoimidazole_ribonucleotide_biosynthesis	88.31168831	C1	0.1210504	0.2477317	Yes	low	low	simple_conserved
PWY_6609__adenine_and_adenosine_salvage_III	89.61038961	C1	0.09437569	0.2564894	Yes	low	low	simple_conserved
PWY_7197__pyrimidine_deoxyribonucleotide_phosphorylation	88.31168831	C1	0.07793069	0.2585798	Yes	low	low	simple_conserved
PWY_7220__adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	89.61038961	C1	0.09055839	0.2602456	Yes	low	low	simple_conserved
PWY_7221__guanosine_ribonucleotides_de_novo_biosynthesis	89.61038961	C1	0.09977318	0.2451516	Yes	low	low	simple_conserved
PWY_7222__guanosine_deoxyribonucleotides_de_novo_biosynthesis_II	89.61038961	C1	0.09055839	0.2602456	Yes	low	low	simple_conserved
