Sample	Fungal_Abundance	Species	RelativeAbundancewithinFungi	RelativeAbundnce_communuty
LOR002C	3.04	Malassezia globosa	97.51167715	2.964354985
LOR002C	3.04	Alternaria alternata	2.488322845	0.075645014
LOR003C	2.08	Malassezia restricta	86.51436122	1.799498713
LOR003C	2.08	Alternaria alternata	8.897137424	0.185060458
LOR003C	2.08	Clavaria fumosa	2.966786814	0.061709166
LOR003C	2.08	Penicillium oxalicum	1.621714537	0.033731662
LOR005C	0.9	Malassezia restricta	95.12759335	0.85614834
LOR005C	0.9	Alternaria alternata	3.330628459	0.029975656
LOR005C	0.9	Preussia sp.	1.541778192	0.013876004
LOR006C	0.73	Malassezia restricta	89.67815758	0.65465055
LOR006C	0.73	Malassezia globosa	10.32184242	0.07534945
LOR007C	1.6	Malassezia restricta	100	1.6
LOR008C	0.59	Malassezia restricta	90.6742281	0.534977946
LOR008C	0.59	Malassezia globosa	9.325771897	0.055022054
LOR009C	12.31	Malassezia restricta	99.85685702	12.2923791
LOR009C	12.31	Preussia sp. BSL10	0.104523371	0.012866827
LOR009C	12.31	Malassezia japonica	0.028799945	0.003545273
LOR009C	12.31	Botrytis paeoniae	0.009819661	0.0012088
LOR011C	6.36	Malassezia restricta	72.51499068	4.611953407
LOR011C	6.36	Malassezia globosa	26.5359691	1.687687635
LOR011C	6.36	Preussia sp. BSL10	0.540141606	0.034353006
LOR011C	6.36	Alternaria arborescens	0.408898616	0.026005952
LOR012C	0.43	Malassezia globosa	78.80667943	0.338868722
LOR012C	0.43	Alternaria alternata	15.99564385	0.068781269
LOR012C	0.43	Alternaria arborescens	5.197676721	0.02235001
LOR014C	2.41	Malassezia restricta	96.92023639	2.335777697
LOR014C	2.41	Malassezia globosa	2.513752998	0.060581447
LOR014C	2.41	Alternaria alternata	0.566010609	0.013640856
LOR015C	0	Malassezia globosa	0	0
LOR016C	0.34	Malassezia globosa	71.91903664	0.244524725
LOR016C	0.34	Amauroascus niger	10.52182082	0.035774191
LOR016C	0.34	Puccinia arachidis	8.77530105	0.029836024
LOR016C	0.34	Preussia sp. BSL10	3.441796908	0.011702109
LOR016C	0.34	Alternaria alternata	2.395593133	0.008145017
LOR016C	0.34	Alternaria arborescens	1.607737638	0.005466308
LOR016C	0.34	Lichtheimia corymbifera	1.33871381	0.004551627
LOR017C	0.34	Malassezia restricta	81.01090188	0.275437066
LOR017C	0.34	Malassezia globosa	8.630893388	0.029345038
LOR017C	0.34	Puccinia arachidis	7.707772901	0.026206428
LOR017C	0.34	Alternaria alternata	2.650431828	0.009011468
LOR018C	4.68	Malassezia restricta	94.11655258	4.404654661
LOR018C	4.68	Amauroascus mutatus	3.875755776	0.18138537
LOR018C	4.68	Puccinia arachidis	1.739923925	0.08142844
LOR018C	4.68	Alternaria alternata	0.182664507	0.008548699
LOR018C	4.68	Alternaria arborescens	0.068114931	0.003187779
LOR018C	4.68	Penicillium citrinum	0.016988285	0.000795052
LOR019C	0.32	Malassezia restricta	56.64761575	0.18127237
LOR019C	0.32	Malassezia globosa	20.73374899	0.066347997
LOR019C	0.32	Alternaria alternata	11.30835546	0.036186737
LOR019C	0.32	Alternaria arborescens	5.357349036	0.017143517
LOR019C	0.32	Amauroascus mutatus	4.003579263	0.012811454
LOR019C	0.32	Penicillium oxalicum	1.949351499	0.006237925
LOR020C	6.21	Malassezia restricta	92.08907966	5.718731847
LOR020C	6.21	Malassezia globosa	4.146740376	0.257512577
LOR020C	6.21	Puccinia arachidis	1.169130946	0.072603032
LOR020C	6.21	Preussia sp. BSL10	1.065416734	0.066162379
LOR020C	6.21	Amauroascus mutatus	1.021542331	0.063437779
LOR020C	6.21	Ustilago maydis	0.280552427	0.017422306
LOR020C	6.21	Cladosporium sphaerospermum	0.121873339	0.007568334
LOR020C	6.21	Alternaria alternata	0.105664185	0.006561746
LOR021C	2.19	Malassezia restricta	99.03381274	2.168840499
LOR021C	2.19	Alternaria alternata	0.316601581	0.006933575
LOR021C	2.19	Preussia sp. BSL10	0.249928565	0.005473436
LOR021C	2.19	Alternaria arborescens	0.144775693	0.003170588
LOR021C	2.19	Curvularia papendorfii	0.128774169	0.002820154
LOR021C	2.19	Aspergillus sp. Z5	0.126107248	0.002761749
LOR022C	0.47	Malassezia globosa	28.36466943	0.133313946
LOR022C	0.47	Amauroascus niger	25.47227846	0.119719709
LOR022C	0.47	Preussia sp. BSL10	9.031731296	0.042449137
LOR022C	0.47	Chrysosporium queenslandicum	8.558613979	0.040225486
LOR022C	0.47	Alternaria alternata	8.096681468	0.038054403
LOR022C	0.47	Malassezia furfur	6.75226772	0.031735658
LOR022C	0.47	Penicillium oxalicum	2.647443712	0.012442985
LOR022C	0.47	Aureobasidium melanogenum	2.45506504	0.011538806
LOR022C	0.47	Erysiphe necator	1.385797533	0.006513248
LOR022C	0.47	Cladosporium sphaerospermum	1.134139385	0.005330455
LOR022C	0.47	Aspergillus sp. Z5	0.900376928	0.004231772
LOR022C	0.47	Talaromyces amestolkiae	0.876888834	0.004121378
LOR022C	0.47	Ustilago maydis	0.866822508	0.004074066
LOR022C	0.47	Trichoderma harzianum	0.782936459	0.003679801
LOR022C	0.47	Pleurotus  ostreatus	0.636415493	0.002991153
LOR022C	0.47	Alternaria consortialis	0.624112206	0.002933327
LOR022C	0.47	Aspergillus ruber	0.464169472	0.002181597
LOR022C	0.47	Talaromyces purpureogenus	0.380283423	0.001787332
LOR022C	0.47	Candida carpophila	0.355676849	0.001671681
LOR022C	0.47	Alternaria brassicicola	0.213629805	0.00100406
LOR024C	0.35	Malassezia globosa	78.25303917	0.273885637
LOR024C	0.35	Preussia sp. BSL10	11.16614138	0.039081495
LOR024C	0.35	Alternaria alternata	4.502476362	0.015758667
LOR024C	0.35	Alternaria arborescens	3.241782981	0.01134624
LOR024C	0.35	Penicillium oxalicum	2.836560108	0.00992796
LOR025C	0.91	Malassezia restricta	76.33670684	0.694664032
LOR025C	0.91	Malassezia globosa	8.752507504	0.079647818
LOR025C	0.91	Penicillium oxalicum	5.03310659	0.04580127
LOR025C	0.91	Puccinia arachidis	3.588181174	0.032652449
LOR025C	0.91	Alternaria alternata	3.473552435	0.031609327
LOR025C	0.91	Talaromyces wortmannii	2.815945461	0.025625104
LOR026C	0.11	Malassezia restricta	74.53994434	0.081993939
LOR026C	0.11	Chrysosporium queenslandicum	25.01566302	0.027517229
LOR026C	0.11	Malassezia slooffiae	0.444392639	0.000488832
LOR027C	0.24	Malassezia restricta	56.68720853	0.1360493
LOR027C	0.24	Malassezia globosa	25.12491672	0.0602998
LOR027C	0.24	Preussia sp. BSL10	11.55896069	0.027741506
LOR027C	0.24	Puccinia arachidis	6.628914057	0.015909394
LOR028C	0.08	Malassezia restricta	73.69677564	0.058957421
LOR028C	0.08	Chrysosporium queenslandicum	26.30322436	0.021042579
LOR029C	3.03	Malassezia restricta	85.3344621	2.585634202
LOR029C	3.03	Malassezia japonica	5.906634501	0.178971025
LOR029C	3.03	Malassezia globosa	5.733817941	0.173734684
LOR029C	3.03	Malassezia furfur	0.878086351	0.026606016
LOR029C	3.03	Stemphylium lycopersici 	0.565552536	0.017136242
LOR029C	3.03	Amauroascus mutatus	0.430290956	0.013037816
LOR029C	3.03	Alternaria alternata	0.35072532	0.010626977
LOR029C	3.03	Cladosporium sphaerospermum	0.327810417	0.009932656
LOR029C	3.03	Curvularia papendorfii	0.191275787	0.005795656
LOR029C	3.03	Moesziomyces aphidis	0.166451309	0.005043475
LOR029C	3.03	Talaromyces wortmannii	0.114892777	0.003481251
LOR030C	0.85	Malassezia restricta	97.05658349	0.82498096
LOR030C	0.85	Preussia sp. BSL10	1.223063483	0.01039604
LOR030C	0.85	Alternaria alternata	0.823340253	0.006998392
LOR030C	0.85	Alternaria arborescens	0.359402456	0.003054921
LOR030C	0.85	Malassezia furfur	0.176714504	0.001502073
LOR030C	0.85	Fusarium verticillioides	0.15879416	0.00134975
LOR030C	0.85	Botrytis cinerea	0.147842839	0.001256664
LOR030C	0.85	Bullera alba	0.05425882	0.0004612
LOR033C	1.08	Malassezia restricta	53.77743548	0.580796303
LOR033C	1.08	Alternaria alternata	12.55351458	0.135577957
LOR033C	1.08	Preussia sp. BSL10	7.176644102	0.077507756
LOR033C	1.08	Alternaria arborescens	5.530905156	0.059733776
LOR033C	1.08	Malassezia globosa	5.384353943	0.058151023
LOR033C	1.08	Amauroascus niger	4.457651376	0.048142635
LOR033C	1.08	Epicoccum sorghinum	2.699972249	0.0291597
LOR033C	1.08	Malassezia sympodialis	2.490435195	0.0268967
LOR033C	1.08	Puccinia arachidis	2.347937526	0.025357725
LOR033C	1.08	Chrysosporium queenslandicum	1.198290028	0.012941532
LOR033C	1.08	Curvularia papendorfii	0.788570253	0.008516559
LOR033C	1.08	Stagonosporopsis tanaceti	0.703757635	0.007600582
LOR033C	1.08	Penicillium oxalicum	0.377915044	0.004081482
LOR033C	1.08	Pseudocercospora pini-densiflorae	0.272211084	0.00293988
