Pathway	Species	LOR002C	LOR003C	LOR005C	LOR006C	LOR007C	LOR008C	LOR009C	LOR011C	LOR012C	LOR013C	LOR014C	LOR017C	LOR021C	LOR023C	LOR024C	LOR027C	LOR030C	LOR034C	LOR042C	LOR046C	LOR055C	LOR062C	LOR063C	LOR065C	LOR070C	LOR072C	LOR082C	LOR091C	LOR099C	LOR101C	LOR102C	LOR202C	LOR203C	LOR204C	LOR207C	LOR214C	LOR216C	LOR217C	LOR218C	LOR220C	LOR223C	LOR224C	LOR226C	LOR227C	LOR228C	LOR230C	LOR231C	LOR233C	LOR234C	LOR235C	LOR237C	LOR238C	LOR239C	LOR240C	LOR246C	LOR248C	LOR249C	LOR254C	LOR258C	LOR259C	LOR262C	LOR264C	LOR269C	LOR270C	LOR274C	LOR279C	LOR283C	LOR287C	LOR288C	LOR294C	LOR300C	LOR301C	LOR303C
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	g__Acinetobacter.s__Acinetobacter_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000313766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	g__Brevundimonas.s__Brevundimonas_diminuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	g__Brevundimonas.s__Brevundimonas_naejangsanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	g__Brevundimonas.s__Brevundimonas_vesicularis	0	0	0	0	0	0	0	0	0	0	0	0	0.000505878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	g__Corynebacterium.s__Corynebacterium_accolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000349939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	g__Cutibacterium.s__Cutibacterium_acnes	0	0	0.014277	0	0.0236888	0	0.0158666	0.0164801	0.0150491	0	0.00756239	0.0150486	0.00789755	0.00883102	0	0.00860422	0.0137747	0.00493121	0.0188145	0.0145931	0.00523377	0.0168773	0.0148248	0.0178406	0.00866908	0.00791848	0.00834738	0.0148141	0.0127893	0.0147978	0.0107668	0.0108505	0.0140884	0.0149843	0.0146145	0.00717548	0.0109668	0.0176595	0.0122881	0.012737	0.0137295	0.00777747	0.00825258	0.0146478	0.00958773	0.0170789	0	0.0117388	0.0149454	0.0129443	0.0152171	0.00676158	0.0138565	0.0104899	0.0122803	0	0.0166067	0.01835	0.0107495	0.0161831	0.0104335	0.0122264	0.0175644	0.0166843	0.00833391	0.0195177	0.0134483	0.0163329	0.0145736	0.0141023	0.0155483	0.0136199	0.00719076
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	g__Cutibacterium.s__Propionibacterium_humerusii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000991002	0	0	0	0	0	0	0	0	0	0	0	0.00111228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	g__Dietzia.s__Dietzia_timorensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	g__Enhydrobacter.s__Enhydrobacter_aerosaccus	0	0	0	0	0	0	0	0	0	0	0	0	0.00145028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000326108	0	0	0	0.000580252	0.000210424	0	0	0	0	0	0.000293191	0	0.000222366	0	0	0	0	0	0	0.000327016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	g__Janibacter.s__Janibacter_indicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
