Sample	City	Cluster	SMEG
LOR011C	Baoding	Cluster 1	1
LOR016C	Baoding	Cluster 1	1.571741276
LOR019C	Baoding	Cluster 1	0
LOR026C	Baoding	Cluster 1	1
LOR034C	Baoding	Cluster 1	1
LOR036C	Baoding	Cluster 1	1
LOR054C	Baoding	Cluster 1	1
LOR055C	Baoding	Cluster 1	1.524814068
LOR060C	Baoding	Cluster 1	1.127021134
LOR061C	Baoding	Cluster 1	0
LOR072C	Baoding	Cluster 1	1
LOR074C	Baoding	Cluster 1	1.93213905
LOR078C	Baoding	Cluster 1	1.062905419
LOR082C	Baoding	Cluster 1	1
LOR090C	Baoding	Cluster 1	0
LOR098C	Baoding	Cluster 1	0
LOR101C	Baoding	Cluster 1	0
LOR202C	Dalian	Cluster 1	0
LOR216C	Dalian	Cluster 1	1.615299552
LOR217C	Dalian	Cluster 1	0
LOR218C	Dalian	Cluster 1	1
LOR219C	Dalian	Cluster 1	1.263194674
LOR222C	Dalian	Cluster 1	1.049378637
LOR226C	Dalian	Cluster 1	0
LOR227C	Dalian	Cluster 1	0
LOR228C	Dalian	Cluster 1	0
LOR238C	Dalian	Cluster 1	1
LOR240C	Dalian	Cluster 1	1.676503171
LOR242C	Dalian	Cluster 1	1.262885568
LOR243C	Dalian	Cluster 1	2.428519325
LOR258C	Dalian	Cluster 1	1
LOR264C	Dalian	Cluster 1	0
LOR282C	Dalian	Cluster 1	1
LOR284C	Dalian	Cluster 1	1
LOR295C	Dalian	Cluster 1	1
LOR011C	Baoding	Cluster 2	0
LOR016C	Baoding	Cluster 2	0
LOR019C	Baoding	Cluster 2	0
LOR026C	Baoding	Cluster 2	0
LOR034C	Baoding	Cluster 2	1
LOR036C	Baoding	Cluster 2	1
LOR054C	Baoding	Cluster 2	0
LOR055C	Baoding	Cluster 2	0
LOR060C	Baoding	Cluster 2	0
LOR061C	Baoding	Cluster 2	1
LOR072C	Baoding	Cluster 2	1
LOR074C	Baoding	Cluster 2	0
LOR078C	Baoding	Cluster 2	0
LOR082C	Baoding	Cluster 2	1
LOR090C	Baoding	Cluster 2	0
LOR098C	Baoding	Cluster 2	2.400771035
LOR101C	Baoding	Cluster 2	0
LOR202C	Dalian	Cluster 2	0
LOR216C	Dalian	Cluster 2	0
LOR217C	Dalian	Cluster 2	1
LOR218C	Dalian	Cluster 2	0
LOR219C	Dalian	Cluster 2	0
LOR222C	Dalian	Cluster 2	0
LOR226C	Dalian	Cluster 2	1
