Sample	City	Type
LOR002C	Baoding	C1
LOR003C	Baoding	C1
LOR005C	Baoding	C1
LOR006C	Baoding	C1
LOR007C	Baoding	C1
LOR008C	Baoding	C1
LOR009C	Baoding	C1
LOR011C	Baoding	C1
LOR012C	Baoding	C1
LOR013C	Baoding	C1
LOR014C	Baoding	C1
LOR015C	Baoding	C2
LOR016C	Baoding	C2
LOR017C	Baoding	C1
LOR018C	Baoding	C2
LOR019C	Baoding	C2
LOR020C	Baoding	C2
LOR021C	Baoding	C1
LOR022C	Baoding	C2
LOR023C	Baoding	C1
LOR024C	Baoding	C1
LOR025C	Baoding	C2
LOR026C	Baoding	C2
LOR027C	Baoding	C1
LOR028C	Baoding	C2
LOR029C	Baoding	C2
LOR030C	Baoding	C1
LOR033C	Baoding	C2
LOR034C	Baoding	C1
LOR036C	Baoding	C2
LOR037C	Baoding	C2
LOR042C	Baoding	C1
LOR046C	Baoding	C1
LOR051C	Baoding	C2
LOR054C	Baoding	C2
LOR055C	Baoding	C1
LOR058C	Baoding	C2
LOR060C	Baoding	C2
LOR061C	Baoding	C2
LOR062C	Baoding	C1
LOR063C	Baoding	C1
LOR065C	Baoding	C1
LOR070C	Baoding	C1
LOR072C	Baoding	C1
LOR074C	Baoding	C2
LOR076C	Baoding	C2
LOR078C	Baoding	C2
LOR081C	Baoding	C2
LOR082C	Baoding	C1
LOR083C	Baoding	C2
LOR084C	Baoding	C2
LOR085C	Baoding	C2
LOR086C	Baoding	C2
LOR090C	Baoding	C2
LOR091C	Baoding	C1
LOR098C	Baoding	C2
LOR099C	Baoding	C1
LOR101C	Baoding	C1
LOR102C	Baoding	C1
LOR103C	Baoding	C2
LOR202C	Dalian	C1
LOR203C	Dalian	C1
LOR204C	Dalian	C1
LOR206C	Dalian	C2
LOR207C	Dalian	C1
LOR208C	Dalian	C2
LOR210C	Dalian	C2
LOR211C	Dalian	C2
LOR212C	Dalian	C2
LOR214C	Dalian	C1
LOR215C	Dalian	C2
LOR216C	Dalian	C1
LOR217C	Dalian	C1
LOR218C	Dalian	C1
LOR219C	Dalian	C2
LOR220C	Dalian	C1
LOR221C	Dalian	C2
LOR222C	Dalian	C2
LOR223C	Dalian	C1
LOR224C	Dalian	C1
LOR225C	Dalian	C2
LOR226C	Dalian	C1
LOR227C	Dalian	C1
LOR228C	Dalian	C1
LOR229C	Dalian	C2
LOR230C	Dalian	C1
LOR231C	Dalian	C1
LOR233C	Dalian	C1
LOR234C	Dalian	C1
LOR235C	Dalian	C1
LOR237C	Dalian	C1
LOR238C	Dalian	C1
LOR239C	Dalian	C1
LOR240C	Dalian	C1
LOR241C	Dalian	C2
LOR242C	Dalian	C2
LOR243C	Dalian	C2
LOR246C	Dalian	C1
LOR248C	Dalian	C1
LOR249C	Dalian	C1
LOR254C	Dalian	C1
LOR258C	Dalian	C1
LOR259C	Dalian	C1
LOR260C	Dalian	C2
LOR262C	Dalian	C1
LOR264C	Dalian	C1
LOR269C	Dalian	C1
LOR270C	Dalian	C1
LOR272C	Dalian	C2
LOR274C	Dalian	C1
LOR275C	Dalian	C2
LOR279C	Dalian	C1
LOR281C	Dalian	C2
LOR282C	Dalian	C2
LOR283C	Dalian	C1
LOR284C	Dalian	C2
LOR287C	Dalian	C1
LOR288C	Dalian	C1
LOR289C	Dalian	C2
LOR294C	Dalian	C1
LOR295C	Dalian	C2
LOR300C	Dalian	C1
LOR301C	Dalian	C1
LOR303C	Dalian	C1
