Sample	City
LOR002C	Baoding
LOR003C	Baoding
LOR005C	Baoding
LOR006C	Baoding
LOR007C	Baoding
LOR008C	Baoding
LOR009C	Baoding
LOR011C	Baoding
LOR012C	Baoding
LOR013C	Baoding
LOR014C	Baoding
LOR015C	Baoding
LOR016C	Baoding
LOR017C	Baoding
LOR018C	Baoding
LOR019C	Baoding
LOR020C	Baoding
LOR021C	Baoding
LOR022C	Baoding
LOR023C	Baoding
LOR024C	Baoding
LOR025C	Baoding
LOR026C	Baoding
LOR027C	Baoding
LOR028C	Baoding
LOR029C	Baoding
LOR030C	Baoding
LOR033C	Baoding
LOR034C	Baoding
LOR036C	Baoding
LOR037C	Baoding
LOR042C	Baoding
LOR046C	Baoding
LOR051C	Baoding
LOR054C	Baoding
LOR055C	Baoding
LOR058C	Baoding
LOR060C	Baoding
LOR061C	Baoding
LOR062C	Baoding
LOR063C	Baoding
LOR065C	Baoding
LOR070C	Baoding
LOR072C	Baoding
LOR074C	Baoding
LOR076C	Baoding
LOR078C	Baoding
LOR081C	Baoding
LOR082C	Baoding
LOR083C	Baoding
LOR084C	Baoding
LOR085C	Baoding
LOR086C	Baoding
LOR090C	Baoding
LOR091C	Baoding
LOR098C	Baoding
LOR099C	Baoding
LOR101C	Baoding
LOR102C	Baoding
LOR103C	Baoding
LOR202C	Dalian
LOR203C	Dalian
LOR204C	Dalian
LOR206C	Dalian
LOR207C	Dalian
LOR208C	Dalian
LOR210C	Dalian
LOR211C	Dalian
LOR212C	Dalian
LOR214C	Dalian
LOR215C	Dalian
LOR216C	Dalian
LOR217C	Dalian
LOR218C	Dalian
LOR219C	Dalian
LOR220C	Dalian
LOR221C	Dalian
LOR222C	Dalian
LOR223C	Dalian
LOR224C	Dalian
LOR225C	Dalian
LOR226C	Dalian
LOR227C	Dalian
LOR228C	Dalian
LOR229C	Dalian
LOR230C	Dalian
LOR231C	Dalian
LOR233C	Dalian
LOR234C	Dalian
LOR235C	Dalian
LOR237C	Dalian
LOR238C	Dalian
LOR239C	Dalian
LOR240C	Dalian
LOR241C	Dalian
LOR242C	Dalian
LOR243C	Dalian
LOR246C	Dalian
LOR248C	Dalian
LOR249C	Dalian
LOR254C	Dalian
LOR258C	Dalian
LOR259C	Dalian
LOR260C	Dalian
LOR262C	Dalian
LOR264C	Dalian
LOR269C	Dalian
LOR270C	Dalian
LOR272C	Dalian
LOR274C	Dalian
LOR275C	Dalian
LOR279C	Dalian
LOR281C	Dalian
LOR282C	Dalian
LOR283C	Dalian
LOR284C	Dalian
LOR287C	Dalian
LOR288C	Dalian
LOR289C	Dalian
LOR294C	Dalian
LOR295C	Dalian
LOR300C	Dalian
LOR301C	Dalian
LOR303C	Dalian
