Sample	g__Acinetobacter.s__Acinetobacter_johnsonii	g__Bosea.s__Bosea_vaviloviae	g__Brachybacterium.s__Brachybacterium_muris	g__Brevibacterium.s__Brevibacterium_casei	g__Brevundimonas.s__Brevundimonas_diminuta	g__Brevundimonas.s__Brevundimonas_naejangsanensis	g__Brevundimonas.s__Brevundimonas_subvibrioides	g__Brevundimonas.s__Brevundimonas_vesicularis	g__Corynebacterium.s__Corynebacterium_accolens	g__Corynebacterium.s__Corynebacterium_amycolatum	g__Corynebacterium.s__Corynebacterium_doosanense	g__Corynebacterium.s__Corynebacterium_lipophiloflavum	g__Corynebacterium.s__Corynebacterium_variabile	g__Cutibacterium.s__Cutibacterium_acnes	g__Cutibacterium.s__Propionibacterium_humerusii	g__Deinococcus.s__Deinococcus_wulumuqiensis	g__Dermacoccus.s__Dermacoccus_sp_PE3	g__Dietzia.s__Dietzia_timorensis	g__Enhydrobacter.s__Enhydrobacter_aerosaccus	g__Gordonia.s__Gordonia_terrae	g__Haematobacter.s__Haematobacter_massiliensis	g__Halomonas.s__Halomonas_hydrothermalis	g__Hyphomonas.s__Hyphomonas_neptunium	g__Janibacter.s__Janibacter_hoylei	g__Janibacter.s__Janibacter_indicus	g__Kocuria.s__Kocuria_palustris	g__Kocuria.s__Kocuria_rhizophila	g__Microbacterium.s__Microbacterium_aurum	g__Micrococcus.s__Micrococcus_aloeverae	g__Micrococcus.s__Micrococcus_luteus	g__Micrococcus.s__Micrococcus_terreus	g__Moraxella.s__Moraxella_osloensis	g__Mycolicibacterium.s__Mycolicibacterium_iranicum	g__Neisseria.s__Neisseria_flavescens	g__Neisseria.s__Neisseria_macacae	g__Neisseria.s__Neisseria_mucosa	g__Neisseria.s__Neisseria_sicca	g__Paracoccus.s__Paracoccus_sanguinis	g__Paracoccus.s__Paracoccus_sphaerophysae	g__Paracoccus.s__Paracoccus_yeei	g__Pseudoglutamicibacter.s__Pseudoglutamicibacter_albus	g__Pseudoglutamicibacter.s__Pseudoglutamicibacter_cumminsii	g__Pseudomonas.s__Pseudomonas_fragi	g__Pseudomonas.s__Pseudomonas_helleri	g__Pseudomonas.s__Pseudomonas_lundensis	g__Sphingobacterium.s__Sphingobacterium_lactis	g__Streptococcus.s__Streptococcus_mitis	g__Streptococcus.s__Streptococcus_oralis
LOR016C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655249	0	0	0	0	2.62332e-4	0	0	0	0	0	0	0	0	0	4.92715e-4	4.48522e-4	0	8.04961e-4	0	0	0	0	0	0.00236816	4.34185e-4	0	0	0	0	0	0	0	0	0
LOR018C	0	0	0	0	0	0	0.00306718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR019C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00206439	0.00287842	0.00684376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR022C	3.11508e-4	0	0	0	0	0	0	0	0	0	0	0	0	0.00254724	0	0	0	0	0	0	0.00249462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05598e-4	0	0	0	0	0	0	0	0
LOR026C	0	0	0	0	0	0	0	0	0	0	0	7.15724e-4	0	3.59203e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110977	0.00145171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR028C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00546718	0	0	0	0	0	0	0	0	0	2.1297e-4	0.00144302	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00362826	0	0	0	0	0	0	0	0	0
LOR029C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.30228e-4	0.00216373	0	0	0	0	0.00146973	0.0014645
LOR033C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666178	6.3425e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR036C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00469564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00321053	0.00543156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR054C	0	0	7.38e-5	0	4.92907e-4	8.61e-5	0	0	0	0	0	0.00208584	0	0.00187055	0	0	0	0	0	0	2.99962e-4	0	2.59058e-4	1.22912e-4	5.87e-5	0	0	0	4.21e-5	1.05164e-4	7.39859e-4	0	0	0	0	0	0	6.99534e-4	2.06548e-4	0	0	0	0	0	0	0	0	0
LOR058C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00365914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00834987	0	0	0	0	0	0	0	0	0
LOR060C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR061C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00664584	0.00633747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
