Prevalence	Count
1	1
2	2
4	2
5	3
7	1
9	1
10	2
11	1
12	1
18	1
19	7
20	2
21	1
22	2
23	4
25	1
26	4
27	6
28	6
29	4
30	1
31	4
32	3
33	1
34	3
35	3
36	5
37	4
38	6
39	4
40	8
41	2
43	8
44	11
45	4
46	7
47	5
48	5
49	8
50	6
51	10
52	11
53	13
54	15
55	9
56	13
57	15
58	5
59	11
60	18
61	17
62	17
63	13
64	15
65	17
66	16
67	20
68	14
69	16
70	15
71	13
72	13
73	26
74	19
75	18
76	22
77	13
78	11
79	20
80	21
81	15
82	30
83	21
84	17
85	22
86	24
87	13
88	26
89	25
90	22
91	12
92	19
93	14
94	15
95	21
96	15
97	19
98	17
99	16
100	16
101	20
102	18
103	16
104	19
105	21
106	21
107	17
108	21
109	16
110	16
111	17
112	24
113	28
114	19
115	27
116	23
117	20
118	15
119	27
120	24
121	25
122	29
123	35
124	42
