metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	PWY_7357	C1	-1.73152766	0.52745988	123	111	0.001349728	0.030020561
Type	PWY_5028	C1	-1.715991891	0.550987507	123	109	0.00230967	0.041689539
Type	PWY_6897	C1	-1.64987766	0.516036728	123	111	0.001777786	0.035804259
Type	PWY_7323	C2	1.479482781	0.472852599	123	20	0.002207321	0.040517428
Type	PWY_7254	C2	1.564481949	0.496989789	123	23	0.002078704	0.038814418
Type	P108_PWY	C2	1.755391998	0.458098425	123	19	0.000204598	0.007385982
Type	P101_PWY	C2	1.951389491	0.545913982	123	22	0.000507922	0.014475788
Type	PWY_6969	C2	2.056313518	0.533528408	123	22	0.000188738	0.007048386
Type	PWY_5747	C2	2.103361603	0.601765886	123	38	0.00066608	0.016759186
Type	SULFATE_CYS_PWY	C2	2.113880382	0.586689302	123	31	0.000460208	0.013470408
Type	PWY_5690	C2	2.12825326	0.614389982	123	30	0.00074053	0.017434651
Type	GLUCONEO_PWY	C2	2.142067579	0.659810097	123	38	0.001517894	0.032232933
Type	PWY1G_0	C2	2.176779945	0.627132442	123	43	0.000723245	0.017406108
Type	GLYCOLYSIS_TCA_GLYOX_BYPASS	C2	2.178306175	0.611988827	123	30	0.000535118	0.014488312
Type	PWY_5189	C2	2.222013735	0.702653454	123	86	0.00198622	0.038412071
Type	GLYCOGENSYNTH_PWY	C2	2.229942649	0.596713111	123	32	0.000287501	0.010043994
Type	COBALSYN_PWY	C2	2.244728426	0.562525201	123	27	0.000114407	0.0051626
Type	PANTO_PWY	C2	2.275763112	0.693655837	123	88	0.001358271	0.030020561
Type	PWY_5103	C2	2.30172337	0.719826243	123	92	0.00177552	0.035804259
Type	PWY_5659	C2	2.303273978	0.726163692	123	72	0.0019272	0.037948325
Type	PANTOSYN_PWY	C2	2.334482317	0.730462686	123	83	0.001785254	0.035804259
Type	PWY0_1479	C2	2.388431068	0.700569556	123	43	0.000889841	0.020504208
Type	HOMOSER_METSYN_PWY	C2	2.456562879	0.671717662	123	55	0.000381166	0.012141251
Type	PWY_5913	C2	2.528665586	0.694558998	123	60	0.000403751	0.012146179
Type	METSYN_PWY	C2	2.533825034	0.718967623	123	55	0.000603576	0.015563649
Type	MET_SAM_PWY	C2	2.540232215	0.718485273	123	55	0.000580738	0.015339984
Type	PWYG_321	C2	2.550541368	0.69531355	123	42	0.000366675	0.012033611
Type	TRPSYN_PWY	C2	2.609061397	0.715756708	123	60	0.000397451	0.012146179
Type	PWY0_845	C2	2.740702023	0.69310978	123	47	0.000130846	0.005668257
Type	PWY_7383	C2	2.779723978	0.750639152	123	60	0.000324205	0.010972326
Type	PWY0_1586	C2	2.78073367	0.715233656	123	56	0.000166949	0.006457351
Type	PYRIDOXSYN_PWY	C2	2.78872146	0.676486517	123	47	6.97E-05	0.003594479
Type	OANTIGEN_PWY	C2	2.813200975	0.718988791	123	52	0.000152435	0.006114339
Type	SER_GLYSYN_PWY	C2	2.828043872	0.708617361	123	83	0.000114202	0.0051626
Type	GLYOXYLATE_BYPASS	C2	2.863073676	0.726909026	123	68	0.000138553	0.005771263
Type	PWY_5173	C2	2.866179218	0.712313451	123	55	0.000101051	0.004974447
Type	PWY66_389	C2	3.015908762	0.685572729	123	57	2.38E-05	0.001517468
Type	HSERMETANA_PWY	C2	3.049817975	0.689701846	123	67	2.18E-05	0.001472714
Type	PWY_7388	C2	3.064327131	0.680987001	123	56	1.59E-05	0.001150733
Type	TCA_GLYOX_BYPASS	C2	3.067022732	0.739481286	123	55	6.33E-05	0.003429503
Type	PWY_241	C2	3.09063158	0.658833178	123	53	7.32E-06	0.000710643
Type	PWY_7663	C2	3.100541539	0.720447728	123	84	3.47E-05	0.002042116
Type	PWY_5920	C2	3.106248105	0.72318023	123	54	3.58E-05	0.002042116
Type	DTDPRHAMSYN_PWY	C2	3.121067244	0.692348044	123	76	1.54E-05	0.001150733
Type	P105_PWY	C2	3.263258812	0.719840505	123	52	1.39E-05	0.001150733
Type	PWY_5104	C2	3.334178313	0.713458916	123	59	7.87E-06	0.000710643
Type	SO4ASSIM_PWY	C2	3.441796618	0.628360218	123	48	2.44E-07	3.78E-05
Type	PWY_5989	C2	3.484993947	0.684293579	123	55	1.34E-06	0.000144957
Type	PWY_6282	C2	3.765548015	0.695867037	123	58	3.29E-07	3.96E-05
Type	PWY_6700	C2	3.76679443	0.663240037	123	55	9.74E-08	2.11E-05
Type	PWY_7664	C2	3.77826773	0.694992023	123	58	2.94E-07	3.96E-05
Type	PWY0_862	C2	3.906060961	0.678160299	123	59	6.72E-08	1.82E-05
Type	FASYN_ELONG_PWY	C2	3.910913746	0.702416052	123	59	1.62E-07	2.93E-05
Type	PWY_6737	C2	4.018519034	0.609967587	123	40	1.27E-09	1.38E-06
Type	PWY_5695	C2	4.129605997	0.686839085	123	70	2.06E-08	7.44E-06
Type	PWY_5973	C2	4.168236517	0.667259419	123	57	6.73E-09	3.64E-06
