Sample	Species	RelativeAbundance	Overall	City
LOR002C	Alternaria alternata	2.488322845	3.04	Baoding
LOR002C	Alternaria arborescens	0	3.04	Baoding
LOR002C	Amauroascus mutatus	0	3.04	Baoding
LOR002C	Amauroascus niger	0	3.04	Baoding
LOR002C	Chrysosporium queenslandicum	0	3.04	Baoding
LOR002C	Clavaria fumosa	0	3.04	Baoding
LOR002C	Malassezia furfur	0	3.04	Baoding
LOR002C	Malassezia globosa	97.51167715	3.04	Baoding
LOR002C	Malassezia restricta	0	3.04	Baoding
LOR002C	Minor/Unclassified	0	3.04	Baoding
LOR002C	Preussia sp. BSL10	0	3.04	Baoding
LOR002C	Puccinia arachidis	0	3.04	Baoding
LOR003C	Alternaria alternata	8.897137424	2.08	Baoding
LOR003C	Alternaria arborescens	0	2.08	Baoding
LOR003C	Amauroascus mutatus	0	2.08	Baoding
LOR003C	Amauroascus niger	0	2.08	Baoding
LOR003C	Chrysosporium queenslandicum	0	2.08	Baoding
LOR003C	Clavaria fumosa	2.966786814	2.08	Baoding
LOR003C	Malassezia furfur	0	2.08	Baoding
LOR003C	Malassezia globosa	0	2.08	Baoding
LOR003C	Malassezia restricta	86.51436122	2.08	Baoding
LOR003C	Minor/Unclassified	1.621714537	2.08	Baoding
LOR003C	Preussia sp. BSL10	0	2.08	Baoding
LOR003C	Puccinia arachidis	0	2.08	Baoding
LOR005C	Alternaria alternata	3.330628459	0.9	Baoding
LOR005C	Alternaria arborescens	0	0.9	Baoding
LOR005C	Amauroascus mutatus	0	0.9	Baoding
LOR005C	Amauroascus niger	0	0.9	Baoding
LOR005C	Chrysosporium queenslandicum	0	0.9	Baoding
LOR005C	Clavaria fumosa	0	0.9	Baoding
LOR005C	Malassezia furfur	0	0.9	Baoding
LOR005C	Malassezia globosa	0	0.9	Baoding
LOR005C	Malassezia restricta	95.12759335	0.9	Baoding
LOR005C	Minor/Unclassified	1.541778192	0.9	Baoding
LOR005C	Preussia sp. BSL10	0	0.9	Baoding
LOR005C	Puccinia arachidis	0	0.9	Baoding
LOR006C	Alternaria alternata	0	0.73	Baoding
LOR006C	Alternaria arborescens	0	0.73	Baoding
LOR006C	Amauroascus mutatus	0	0.73	Baoding
LOR006C	Amauroascus niger	0	0.73	Baoding
LOR006C	Chrysosporium queenslandicum	0	0.73	Baoding
LOR006C	Clavaria fumosa	0	0.73	Baoding
LOR006C	Malassezia furfur	0	0.73	Baoding
LOR006C	Malassezia globosa	10.32184242	0.73	Baoding
LOR006C	Malassezia restricta	89.67815758	0.73	Baoding
