Genome	KO_No	Completeness	Size	HQ
LOR005Cb1	1117	98.9	2465662	TRUE
LOR007Cb1	1068	74.01	2056221	FALSE
LOR009Cb1	1109	100	2460449	TRUE
LOR011Cb1	1044	77.91	2028204	FALSE
LOR012Cb1	1069	76.4	2024244	FALSE
LOR014Cb1	1019	63.78	1745970	FALSE
LOR016Cb1	1112	96.38	2389998	TRUE
LOR016Cb2	1385	67.56	2191395	FALSE
LOR017Cb1	1139	99.44	2588403	TRUE
LOR019Cb1	1148	95.2	2799801	TRUE
LOR020Cb1	1048	78	2041436	FALSE
LOR021Cb1	1072	90.46	2249689	TRUE
LOR021Cb2	1071	73.07	1817151	FALSE
LOR022Cb1	1112	97.18	2434550	TRUE
LOR022Cb2	1601	96.89	3454826	FALSE
LOR022Cb3	718	85.61	1041373	FALSE
LOR022Cb4	1666	54.72	3951111	TRUE
LOR023Cb1	1093	89.23	2296748	FALSE
LOR026Cb1	741	98.9	1228671	FALSE
LOR026Cb2	866	70.33	1540810	FALSE
LOR026Cb3	1508	51.56	3743906	TRUE
LOR027Cb1	1103	90.34	2359395	TRUE
LOR027Cb2	613	54.56	858369	FALSE
LOR028Cb1	326	89.21	640958	FALSE
LOR028Cb2	1424	82.88	2475045	FALSE
LOR028Cb3	1068	60.65	2224361	FALSE
LOR028Cb4	277	52.35	496459	FALSE
LOR028Cb5	1035	50.34	2139386	FALSE
LOR030Cb1	1056	100	2113494	TRUE
LOR030Cb2	1464	96.74	3280571	TRUE
LOR030Cb3	1116	93.02	2493151	TRUE
LOR030Cb4	972	69.27	1667899	FALSE
LOR033Cb1	1018	77.9	2049992	FALSE
LOR033Cb2	1026	60.38	1596574	FALSE
LOR034Cb1	1337	100	2563319	TRUE
LOR034Cb2	762	98.19	1562657	FALSE
LOR034Cb3	872	94.65	1768276	FALSE
LOR034Cb4	1030	74.59	2443206	FALSE
LOR034Cb5	1133	72.35	2636975	TRUE
LOR034Cb6	1049	50.07	2043182	TRUE
